,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
159,survived,0.184615385,0.815384615
160,survived,0.184615385,0.815384615
161,survived,0.184615385,0.815384615
162,died,0.814049587,0.185950413
163,died,0.814049587,0.185950413
164,survived,0.184615385,0.815384615
165,survived,0.184615385,0.815384615
166,survived,0.184615385,0.815384615
167,died,0.814049587,0.185950413
168,survived,0.184615385,0.815384615
169,died,0.814049587,0.185950413
170,survived,0.184615385,0.815384615
171,survived,0.184615385,0.815384615
172,died,0.814049587,0.185950413
173,survived,0.184615385,0.815384615
174,died,0.814049587,0.185950413
175,survived,0.184615385,0.815384615
176,survived,0.184615385,0.815384615
177,died,0.814049587,0.185950413
178,died,0.814049587,0.185950413
179,died,0.814049587,0.185950413
180,died,0.814049587,0.185950413
181,died,0.814049587,0.185950413
182,died,0.814049587,0.185950413
183,survived,0.184615385,0.815384615
184,survived,0.184615385,0.815384615
185,died,0.814049587,0.185950413
186,died,0.814049587,0.185950413
187,died,0.814049587,0.185950413
188,died,0.814049587,0.185950413
189,survived,0.184615385,0.815384615
190,survived,0.184615385,0.815384615
191,died,0.814049587,0.185950413
192,survived,0.184615385,0.815384615
193,died,0.814049587,0.185950413
194,survived,0.184615385,0.815384615
195,survived,0.184615385,0.815384615
196,died,0.814049587,0.185950413
197,died,0.814049587,0.185950413
198,died,0.814049587,0.185950413
199,died,0.814049587,0.185950413
200,died,0.814049587,0.185950413
201,survived,0.184615385,0.815384615
202,died,0.814049587,0.185950413
203,survived,0.184615385,0.815384615
204,survived,0.184615385,0.815384615
205,died,0.814049587,0.185950413
206,died,0.814049587,0.185950413
207,survived,0.184615385,0.815384615
208,died,0.814049587,0.185950413
209,died,0.814049587,0.185950413
210,survived,0.184615385,0.815384615
211,died,0.814049587,0.185950413
212,died,0.814049587,0.185950413
213,survived,0.184615385,0.815384615
214,died,0.814049587,0.185950413
215,died,0.814049587,0.185950413
216,survived,0.184615385,0.815384615
217,died,0.814049587,0.185950413
218,survived,0.184615385,0.815384615
219,died,0.814049587,0.185950413
220,died,0.814049587,0.185950413
221,survived,0.184615385,0.815384615
222,survived,0.184615385,0.815384615
223,died,0.814049587,0.185950413
224,survived,0.184615385,0.815384615
225,survived,0.184615385,0.815384615
226,survived,0.184615385,0.815384615
227,survived,0.184615385,0.815384615
228,died,0.814049587,0.185950413
229,survived,0.184615385,0.815384615
230,died,0.814049587,0.185950413
231,died,0.814049587,0.185950413
232,survived,0.184615385,0.815384615
233,died,0.814049587,0.185950413
234,died,0.814049587,0.185950413
235,died,0.814049587,0.185950413
236,died,0.814049587,0.185950413
237,died,0.814049587,0.185950413
238,survived,0.184615385,0.815384615
239,died,0.814049587,0.185950413
240,survived,0.184615385,0.815384615
241,survived,0.25,0.75
242,died,0.814049587,0.185950413
243,survived,0.184615385,0.815384615
244,died,0.814049587,0.185950413
245,died,0.814049587,0.185950413
246,died,0.814049587,0.185950413
247,died,0.814049587,0.185950413
248,survived,0.184615385,0.815384615
249,survived,0.184615385,0.815384615
250,survived,0.184615385,0.815384615
251,died,0.814049587,0.185950413
252,survived,0.184615385,0.815384615
253,died,0.814049587,0.185950413
254,survived,0.184615385,0.815384615
255,survived,0.184615385,0.815384615
256,died,0.814049587,0.185950413
257,survived,0.184615385,0.815384615
258,died,0.814049587,0.185950413
259,died,0.814049587,0.185950413
260,died,0.814049587,0.185950413
261,survived,0.184615385,0.815384615
262,died,0.814049587,0.185950413
263,died,0.814049587,0.185950413
264,died,0.814049587,0.185950413
265,died,0.814049587,0.185950413
266,survived,0.184615385,0.815384615
267,died,0.814049587,0.185950413
268,survived,0.184615385,0.815384615
269,died,0.814049587,0.185950413
270,died,0.814049587,0.185950413
271,died,0.814049587,0.185950413
272,survived,0.184615385,0.815384615
273,survived,0.184615385,0.815384615
274,died,0.814049587,0.185950413
275,survived,0.184615385,0.815384615
276,died,0.814049587,0.185950413
277,died,0.814049587,0.185950413
278,survived,0.184615385,0.815384615
279,survived,0.184615385,0.815384615
280,died,0.814049587,0.185950413
281,died,0.814049587,0.185950413
282,survived,0.184615385,0.815384615
283,died,0.814049587,0.185950413
284,survived,0.184615385,0.815384615
285,died,0.814049587,0.185950413
286,survived,0.184615385,0.815384615
287,died,0.814049587,0.185950413
288,died,0.814049587,0.185950413
289,died,0.814049587,0.185950413
290,died,0.814049587,0.185950413
291,survived,0.184615385,0.815384615
292,died,0.814049587,0.185950413
293,died,0.814049587,0.185950413
294,died,0.814049587,0.185950413
295,survived,0.184615385,0.815384615
296,died,0.814049587,0.185950413
297,died,0.814049587,0.185950413
298,died,0.814049587,0.185950413
299,survived,0.184615385,0.815384615
300,died,0.814049587,0.185950413
301,survived,0.25,0.75
302,survived,0.184615385,0.815384615
303,survived,0.184615385,0.815384615
304,survived,0.184615385,0.815384615
305,died,0.814049587,0.185950413
306,survived,0.184615385,0.815384615
307,died,0.814049587,0.185950413
308,died,0.814049587,0.185950413
309,died,0.814049587,0.185950413
310,died,0.814049587,0.185950413
311,survived,0.184615385,0.815384615
312,survived,0.184615385,0.815384615
313,died,0.814049587,0.185950413
314,survived,0.184615385,0.815384615
315,survived,0.184615385,0.815384615
316,died,0.814049587,0.185950413
317,survived,0.184615385,0.815384615
318,died,0.814049587,0.185950413
319,died,0.814049587,0.185950413
320,survived,0.184615385,0.815384615
321,survived,0.25,0.75
322,died,0.814049587,0.185950413
323,survived,0.184615385,0.815384615
324,survived,0.184615385,0.815384615
325,died,0.814049587,0.185950413
326,survived,0.184615385,0.815384615
327,died,0.814049587,0.185950413
328,died,0.814049587,0.185950413
329,died,0.814049587,0.185950413
330,survived,0.184615385,0.815384615
331,survived,0.184615385,0.815384615
332,survived,0.184615385,0.815384615
333,died,0.814049587,0.185950413
334,survived,0.184615385,0.815384615
335,died,0.814049587,0.185950413
336,died,0.814049587,0.185950413
337,died,0.814049587,0.185950413
338,survived,0.184615385,0.815384615
339,died,0.814049587,0.185950413
340,survived,0.184615385,0.815384615
341,survived,0.184615385,0.815384615
342,survived,0.184615385,0.815384615
343,died,0.814049587,0.185950413
344,survived,0.25,0.75
345,died,0.814049587,0.185950413
346,survived,0.184615385,0.815384615
347,survived,0.184615385,0.815384615
348,died,0.814049587,0.185950413
349,died,0.814049587,0.185950413
350,died,0.814049587,0.185950413
351,survived,0.184615385,0.815384615
352,died,0.814049587,0.185950413
353,died,0.814049587,0.185950413
354,survived,0.184615385,0.815384615
355,survived,0.184615385,0.815384615
356,died,0.814049587,0.185950413
357,survived,0.25,0.75
358,died,0.814049587,0.185950413
359,survived,0.184615385,0.815384615
360,survived,0.184615385,0.815384615
361,survived,0.184615385,0.815384615
362,died,0.814049587,0.185950413
363,died,0.814049587,0.185950413
364,died,0.814049587,0.185950413
365,died,0.814049587,0.185950413
366,survived,0.184615385,0.815384615
367,died,0.814049587,0.185950413
368,died,0.814049587,0.185950413
369,survived,0.184615385,0.815384615
370,died,0.814049587,0.185950413
371,died,0.814049587,0.185950413
372,died,0.814049587,0.185950413
373,survived,0.184615385,0.815384615
374,died,0.814049587,0.185950413
375,died,0.814049587,0.185950413
376,died,0.814049587,0.185950413
377,died,0.814049587,0.185950413
378,died,0.814049587,0.185950413
379,died,0.814049587,0.185950413
380,died,0.814049587,0.185950413
381,died,0.814049587,0.185950413
382,died,0.814049587,0.185950413
383,died,0.814049587,0.185950413
384,died,0.814049587,0.185950413
385,survived,0.25,0.75
386,survived,0.184615385,0.815384615
387,died,0.814049587,0.185950413
388,survived,0.184615385,0.815384615
389,died,0.814049587,0.185950413
390,died,0.814049587,0.185950413
391,died,0.814049587,0.185950413
392,survived,0.184615385,0.815384615
393,died,0.814049587,0.185950413
394,survived,0.184615385,0.815384615
395,survived,0.184615385,0.815384615
396,survived,0.184615385,0.815384615
397,died,0.814049587,0.185950413
398,survived,0.184615385,0.815384615
399,survived,0.184615385,0.815384615
400,died,0.814049587,0.185950413
401,died,0.814049587,0.185950413
402,died,0.814049587,0.185950413
403,survived,0.184615385,0.815384615
404,survived,0.184615385,0.815384615
405,died,0.814049587,0.185950413
406,died,0.814049587,0.185950413
407,survived,0.184615385,0.815384615
408,died,0.814049587,0.185950413
409,died,0.814049587,0.185950413
410,survived,0.184615385,0.815384615
411,died,0.814049587,0.185950413
412,died,0.814049587,0.185950413
413,died,0.814049587,0.185950413
414,survived,0.184615385,0.815384615
415,died,0.814049587,0.185950413
416,survived,0.184615385,0.815384615
417,died,0.814049587,0.185950413
418,survived,0.184615385,0.815384615
419,died,0.814049587,0.185950413
420,died,0.814049587,0.185950413
421,died,0.814049587,0.185950413
422,died,0.814049587,0.185950413
423,survived,0.184615385,0.815384615
424,died,0.814049587,0.185950413
425,survived,0.184615385,0.815384615
426,survived,0.184615385,0.815384615
427,died,0.814049587,0.185950413
428,survived,0.184615385,0.815384615
429,died,0.814049587,0.185950413
430,died,0.814049587,0.185950413
431,survived,0.184615385,0.815384615
432,died,0.814049587,0.185950413
433,survived,0.184615385,0.815384615
434,survived,0.184615385,0.815384615
435,died,0.814049587,0.185950413
436,survived,0.184615385,0.815384615
437,survived,0.184615385,0.815384615
438,survived,0.184615385,0.815384615
439,died,0.814049587,0.185950413
440,died,0.814049587,0.185950413
441,died,0.814049587,0.185950413
442,died,0.814049587,0.185950413
443,survived,0.184615385,0.815384615
444,survived,0.184615385,0.815384615
445,survived,0.25,0.75
446,died,0.814049587,0.185950413
447,survived,0.184615385,0.815384615
448,died,0.814049587,0.185950413
449,died,0.814049587,0.185950413
450,died,0.814049587,0.185950413
451,died,0.814049587,0.185950413
452,died,0.814049587,0.185950413
453,survived,0.184615385,0.815384615
454,survived,0.184615385,0.815384615
455,died,0.814049587,0.185950413
456,died,0.814049587,0.185950413
457,died,0.814049587,0.185950413
458,died,0.814049587,0.185950413
459,died,0.814049587,0.185950413
460,died,0.814049587,0.185950413
461,died,0.814049587,0.185950413
462,died,0.814049587,0.185950413
463,died,0.814049587,0.185950413
464,died,0.814049587,0.185950413
465,survived,0.184615385,0.815384615
466,survived,0.25,0.75
467,survived,0.25,0.75
468,died,0.814049587,0.185950413
469,died,0.814049587,0.185950413
470,died,0.814049587,0.185950413
471,died,0.814049587,0.185950413
472,died,0.814049587,0.185950413
473,survived,0.184615385,0.815384615
474,died,0.814049587,0.185950413
475,died,0.814049587,0.185950413
476,died,0.814049587,0.185950413
477,died,0.814049587,0.185950413
478,died,0.814049587,0.185950413
479,survived,0.184615385,0.815384615
480,died,0.814049587,0.185950413
481,died,0.814049587,0.185950413
482,survived,0.184615385,0.815384615
483,survived,0.184615385,0.815384615
484,died,0.814049587,0.185950413
485,survived,0.184615385,0.815384615
486,died,0.814049587,0.185950413
487,died,0.814049587,0.185950413
488,died,0.814049587,0.185950413
489,survived,0.184615385,0.815384615
490,survived,0.184615385,0.815384615
491,survived,0.184615385,0.815384615
492,died,0.814049587,0.185950413
493,died,0.814049587,0.185950413
494,survived,0.184615385,0.815384615
495,survived,0.184615385,0.815384615
496,died,0.814049587,0.185950413
497,survived,0.25,0.75
498,survived,0.25,0.75
499,survived,0.184615385,0.815384615
500,survived,0.184615385,0.815384615
501,died,0.814049587,0.185950413
502,survived,0.184615385,0.815384615
503,died,0.814049587,0.185950413
504,died,0.814049587,0.185950413
505,died,0.814049587,0.185950413
506,survived,0.184615385,0.815384615
507,survived,0.184615385,0.815384615
508,survived,0.184615385,0.815384615
509,survived,0.184615385,0.815384615
510,died,0.814049587,0.185950413
511,survived,0.184615385,0.815384615
512,died,0.814049587,0.185950413
513,survived,0.184615385,0.815384615
514,died,0.814049587,0.185950413
515,died,0.814049587,0.185950413
516,died,0.814049587,0.185950413
517,died,0.814049587,0.185950413
518,died,0.814049587,0.185950413
519,survived,0.184615385,0.815384615
520,died,0.814049587,0.185950413
521,survived,0.184615385,0.815384615
522,survived,0.184615385,0.815384615
523,died,0.814049587,0.185950413
524,survived,0.184615385,0.815384615
525,died,0.814049587,0.185950413
526,survived,0.184615385,0.815384615
527,died,0.814049587,0.185950413
528,died,0.814049587,0.185950413
529,survived,0.184615385,0.815384615
530,survived,0.184615385,0.815384615
531,survived,0.184615385,0.815384615
532,survived,0.184615385,0.815384615
533,died,0.814049587,0.185950413
534,survived,0.184615385,0.815384615
535,survived,0.25,0.75
536,survived,0.184615385,0.815384615
537,survived,0.184615385,0.815384615
538,survived,0.184615385,0.815384615
539,survived,0.184615385,0.815384615
540,died,0.814049587,0.185950413
541,survived,0.184615385,0.815384615
542,died,0.814049587,0.185950413
543,died,0.814049587,0.185950413
544,survived,0.184615385,0.815384615
545,survived,0.184615385,0.815384615
546,died,0.814049587,0.185950413
547,died,0.814049587,0.185950413
548,died,0.814049587,0.185950413
549,survived,0.184615385,0.815384615
550,survived,0.184615385,0.815384615
551,died,0.814049587,0.185950413
552,died,0.814049587,0.185950413
553,survived,0.184615385,0.815384615
554,died,0.814049587,0.185950413
555,died,0.814049587,0.185950413
556,survived,0.184615385,0.815384615
557,survived,0.25,0.75
558,survived,0.184615385,0.815384615
559,died,0.814049587,0.185950413
560,died,0.814049587,0.185950413
561,died,0.814049587,0.185950413
562,died,0.814049587,0.185950413
563,died,0.814049587,0.185950413
564,died,0.814049587,0.185950413
565,died,0.814049587,0.185950413
566,died,0.814049587,0.185950413
567,survived,0.184615385,0.815384615
568,survived,0.25,0.75
569,survived,0.184615385,0.815384615
570,survived,0.184615385,0.815384615
571,survived,0.184615385,0.815384615
572,survived,0.184615385,0.815384615
573,survived,0.184615385,0.815384615
574,survived,0.184615385,0.815384615
575,died,0.814049587,0.185950413
576,died,0.814049587,0.185950413
577,died,0.814049587,0.185950413
578,survived,0.184615385,0.815384615
579,died,0.814049587,0.185950413
580,died,0.814049587,0.185950413
581,died,0.814049587,0.185950413
582,survived,0.184615385,0.815384615
583,died,0.814049587,0.185950413
584,died,0.814049587,0.185950413
585,survived,0.25,0.75
586,survived,0.25,0.75
587,survived,0.25,0.75
588,died,0.814049587,0.185950413
589,survived,0.184615385,0.815384615
590,died,0.814049587,0.185950413
591,died,0.814049587,0.185950413
592,survived,0.184615385,0.815384615
593,survived,0.184615385,0.815384615
594,died,0.814049587,0.185950413
595,died,0.814049587,0.185950413
596,survived,0.184615385,0.815384615
597,died,0.814049587,0.185950413
598,died,0.814049587,0.185950413
599,survived,0.184615385,0.815384615
600,died,0.814049587,0.185950413
601,died,0.814049587,0.185950413
602,survived,0.184615385,0.815384615
603,survived,0.184615385,0.815384615
604,survived,0.184615385,0.815384615
605,survived,0.184615385,0.815384615
606,survived,0.184615385,0.815384615
607,survived,0.184615385,0.815384615
608,died,0.814049587,0.185950413
609,died,0.814049587,0.185950413
610,died,0.814049587,0.185950413
611,survived,0.184615385,0.815384615
612,survived,0.184615385,0.815384615
613,survived,0.184615385,0.815384615
614,died,0.814049587,0.185950413
615,died,0.814049587,0.185950413
616,died,0.814049587,0.185950413
617,died,0.814049587,0.185950413
618,died,0.814049587,0.185950413
619,died,0.814049587,0.185950413
620,died,0.814049587,0.185950413
621,died,0.814049587,0.185950413
622,died,0.814049587,0.185950413
623,survived,0.25,0.75
624,survived,0.184615385,0.815384615
625,died,0.814049587,0.185950413
626,survived,0.184615385,0.815384615
627,died,0.814049587,0.185950413
628,survived,0.184615385,0.815384615
629,survived,0.184615385,0.815384615
630,died,0.814049587,0.185950413
631,died,0.814049587,0.185950413
632,died,0.814049587,0.185950413
633,died,0.814049587,0.185950413
634,survived,0.184615385,0.815384615
635,died,0.814049587,0.185950413
636,died,0.814049587,0.185950413
637,survived,0.184615385,0.815384615
638,survived,0.184615385,0.815384615
639,survived,0.184615385,0.815384615
640,died,0.814049587,0.185950413
641,died,0.814049587,0.185950413
642,died,0.814049587,0.185950413
643,died,0.814049587,0.185950413
644,survived,0.184615385,0.815384615
645,died,0.814049587,0.185950413
646,died,0.814049587,0.185950413
647,died,0.814049587,0.185950413
648,died,0.814049587,0.185950413
649,survived,0.184615385,0.815384615
650,survived,0.184615385,0.815384615
651,died,0.814049587,0.185950413
652,died,0.814049587,0.185950413
653,died,0.814049587,0.185950413
654,died,0.814049587,0.185950413
655,died,0.814049587,0.185950413
656,died,0.814049587,0.185950413
657,died,0.814049587,0.185950413
658,died,0.814049587,0.185950413
659,died,0.814049587,0.185950413
660,died,0.814049587,0.185950413
661,died,0.814049587,0.185950413
662,died,0.814049587,0.185950413
663,died,0.814049587,0.185950413
664,died,0.814049587,0.185950413
665,survived,0.184615385,0.815384615
666,survived,0.184615385,0.815384615
667,died,0.814049587,0.185950413
668,died,0.814049587,0.185950413
669,died,0.814049587,0.185950413
670,died,0.814049587,0.185950413
671,died,0.814049587,0.185950413
672,died,0.814049587,0.185950413
673,survived,0.25,0.75
674,survived,0.25,0.75
675,survived,0.184615385,0.815384615
676,died,0.814049587,0.185950413
677,died,0.814049587,0.185950413
678,survived,0.184615385,0.815384615
679,died,0.814049587,0.185950413
680,died,0.814049587,0.185950413
681,died,0.814049587,0.185950413
682,died,0.814049587,0.185950413
683,survived,0.184615385,0.815384615
684,died,0.814049587,0.185950413
685,survived,0.184615385,0.815384615
686,died,0.814049587,0.185950413
687,survived,0.25,0.75
688,died,0.814049587,0.185950413
689,survived,0.184615385,0.815384615
690,died,0.814049587,0.185950413
691,died,0.814049587,0.185950413
692,died,0.814049587,0.185950413
693,died,0.814049587,0.185950413
694,died,0.814049587,0.185950413
695,died,0.814049587,0.185950413
696,died,0.814049587,0.185950413
697,survived,0.184615385,0.815384615
698,died,0.814049587,0.185950413
699,died,0.814049587,0.185950413
700,survived,0.25,0.75
701,survived,0.184615385,0.815384615
702,died,0.814049587,0.185950413
703,survived,0.184615385,0.815384615
704,died,0.814049587,0.185950413
705,died,0.814049587,0.185950413
706,died,0.814049587,0.185950413
707,survived,0.184615385,0.815384615
708,died,0.814049587,0.185950413
709,died,0.814049587,0.185950413
710,died,0.814049587,0.185950413
711,died,0.814049587,0.185950413
712,died,0.814049587,0.185950413
713,survived,0.184615385,0.815384615
714,survived,0.184615385,0.815384615
715,survived,0.184615385,0.815384615
716,died,0.814049587,0.185950413
717,died,0.814049587,0.185950413
718,died,0.814049587,0.185950413
719,died,0.814049587,0.185950413
720,survived,0.184615385,0.815384615
721,died,0.814049587,0.185950413
722,died,0.814049587,0.185950413
723,died,0.814049587,0.185950413
724,died,0.814049587,0.185950413
725,died,0.814049587,0.185950413
726,died,0.814049587,0.185950413
727,died,0.814049587,0.185950413
728,survived,0.184615385,0.815384615
729,died,0.814049587,0.185950413
730,died,0.814049587,0.185950413
731,died,0.814049587,0.185950413
732,died,0.814049587,0.185950413
733,survived,0.184615385,0.815384615
734,survived,0.184615385,0.815384615
735,died,0.814049587,0.185950413
736,died,0.814049587,0.185950413
737,survived,0.184615385,0.815384615
738,died,0.814049587,0.185950413
739,died,0.814049587,0.185950413
740,survived,0.184615385,0.815384615
741,survived,0.25,0.75
742,died,0.814049587,0.185950413
743,died,0.814049587,0.185950413
744,survived,0.184615385,0.815384615
745,died,0.814049587,0.185950413
746,survived,0.25,0.75
747,survived,0.25,0.75
748,died,0.814049587,0.185950413
749,survived,0.184615385,0.815384615
750,survived,0.184615385,0.815384615
751,died,0.814049587,0.185950413
752,died,0.814049587,0.185950413
753,survived,0.184615385,0.815384615
754,died,0.814049587,0.185950413
755,died,0.814049587,0.185950413
756,died,0.814049587,0.185950413
757,died,0.814049587,0.185950413
758,died,0.814049587,0.185950413
759,died,0.814049587,0.185950413
760,survived,0.184615385,0.815384615
761,survived,0.184615385,0.815384615
762,died,0.814049587,0.185950413
763,survived,0.184615385,0.815384615
764,died,0.814049587,0.185950413
765,died,0.814049587,0.185950413
766,died,0.814049587,0.185950413
767,died,0.814049587,0.185950413
768,died,0.814049587,0.185950413
769,survived,0.184615385,0.815384615
770,died,0.814049587,0.185950413
771,died,0.814049587,0.185950413
772,died,0.814049587,0.185950413
773,survived,0.184615385,0.815384615
774,survived,0.184615385,0.815384615
775,survived,0.184615385,0.815384615
776,survived,0.184615385,0.815384615
777,died,0.814049587,0.185950413
778,survived,0.184615385,0.815384615
779,survived,0.184615385,0.815384615
780,survived,0.184615385,0.815384615
781,died,0.814049587,0.185950413
782,died,0.814049587,0.185950413
783,survived,0.184615385,0.815384615
784,died,0.814049587,0.185950413
785,died,0.814049587,0.185950413
786,survived,0.184615385,0.815384615
787,survived,0.184615385,0.815384615
788,died,0.814049587,0.185950413
789,died,0.814049587,0.185950413
790,died,0.814049587,0.185950413
791,died,0.814049587,0.185950413
792,died,0.814049587,0.185950413
793,died,0.814049587,0.185950413
794,died,0.814049587,0.185950413
795,died,0.814049587,0.185950413
796,died,0.814049587,0.185950413
797,died,0.814049587,0.185950413
798,died,0.814049587,0.185950413
799,survived,0.25,0.75
800,survived,0.184615385,0.815384615
801,died,0.814049587,0.185950413
802,died,0.814049587,0.185950413
803,died,0.814049587,0.185950413
804,survived,0.184615385,0.815384615
805,died,0.814049587,0.185950413
806,died,0.814049587,0.185950413
807,died,0.814049587,0.185950413
808,survived,0.184615385,0.815384615
809,survived,0.184615385,0.815384615
810,died,0.814049587,0.185950413
811,died,0.814049587,0.185950413
812,died,0.814049587,0.185950413
813,died,0.814049587,0.185950413
814,died,0.814049587,0.185950413
815,died,0.814049587,0.185950413
816,died,0.814049587,0.185950413
817,survived,0.184615385,0.815384615
818,died,0.814049587,0.185950413
819,died,0.814049587,0.185950413
820,died,0.814049587,0.185950413
821,died,0.814049587,0.185950413
822,survived,0.184615385,0.815384615
823,died,0.814049587,0.185950413
824,survived,0.184615385,0.815384615
825,died,0.814049587,0.185950413
826,survived,0.184615385,0.815384615
827,survived,0.184615385,0.815384615
828,died,0.814049587,0.185950413
829,survived,0.184615385,0.815384615
830,died,0.814049587,0.185950413
831,survived,0.184615385,0.815384615
832,survived,0.184615385,0.815384615
833,died,0.814049587,0.185950413
834,died,0.814049587,0.185950413
835,died,0.814049587,0.185950413
836,died,0.814049587,0.185950413
837,died,0.814049587,0.185950413
838,died,0.814049587,0.185950413
839,died,0.814049587,0.185950413
840,died,0.814049587,0.185950413
841,died,0.814049587,0.185950413
842,died,0.814049587,0.185950413
843,survived,0.184615385,0.815384615
844,survived,0.184615385,0.815384615
845,died,0.814049587,0.185950413
846,survived,0.184615385,0.815384615
847,died,0.814049587,0.185950413
848,died,0.814049587,0.185950413
849,died,0.814049587,0.185950413
850,survived,0.184615385,0.815384615
851,died,0.814049587,0.185950413
852,died,0.814049587,0.185950413
853,died,0.814049587,0.185950413
854,survived,0.184615385,0.815384615
855,died,0.814049587,0.185950413
