,Predicted_Type,WindowFloatGlassTypeProbability,WindowNon-floatGlassTypeProbability,VehicleWindowGlassTypeProbability,ContainersTypeProbability,TablewareTypeProbability,VehicleHeadlampsTypeProbability
187,Head,0,0.045454545,0,0.045454545,0,0.909090909
40,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
86,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
116,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
88,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
27,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
139,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
31,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
170,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
103,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
213,Head,0,0.045454545,0,0.045454545,0,0.909090909
37,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
151,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
90,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
4,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
207,Head,0,0.045454545,0,0.045454545,0,0.909090909
91,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
154,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
