,Predicted_Type,FirstClassWineProbability,SecondClassWineProbability,ThirdClassWineProbability
92,2,2.86848987745536e-44,1,6.30833362014444e-37
93,2,8.14599260590733e-49,1,1.3947299710605e-44
94,2,2.02107469060214e-51,1,6.32815354675041e-44
95,2,6.18317044264227e-37,1,4.74865719050023e-24
96,2,5.96142065382386e-19,1,3.79790660297308e-60
97,2,1.27867982390975e-05,0.999987213201182,5.78456745428525e-13
98,2,7.91666563457876e-49,1,2.56295010226213e-49
99,2,3.15679587735231e-22,1,1.30971766946055e-28
100,2,1.05904955602666e-64,1,1.85285640955746e-75
101,2,1.54461267146499e-35,1,4.68408894885421e-44
102,2,1.62572793546024e-41,1,9.56568402662557e-37
103,2,7.29206632260161e-26,1,1.15645671192932e-18
104,2,1.55227152225802e-60,1,7.6677584569267e-37
105,2,3.04981146466919e-32,1,9.2111720325635e-29
106,2,5.3963404139727e-60,1,6.0279160434814e-57
107,2,1.40760847578832e-34,1,1.47320166641035e-39
108,2,1.54077187952234e-45,1,2.94868454183577e-39
109,2,3.73768012428091e-62,1,1.87155469532434e-45
110,2,1.2087981775533e-07,0.999999879120182,3.11928616624117e-35
111,2,1.6634566245555e-42,1,6.53282401422365e-32
112,2,1.79153190801961e-53,1,2.23956486983162e-31
113,2,9.96664540441317e-10,0.999999999003335,3.22451669368525e-46
114,2,2.4933687816514e-44,1,3.98224176078133e-39
115,2,2.44625989381567e-42,1,5.45262667333702e-32
116,2,7.43317925879097e-88,1,6.61655150454434e-92
117,2,4.62562522193159e-49,1,4.60929766793094e-38
118,2,1.53482190551086e-66,1,3.36801923481641e-58
119,2,1.99080531650319e-29,0.999999999989547,1.0452802313812e-11
120,2,7.02352453553661e-41,1,1.6911135666701e-41
121,2,2.34903329633372e-09,0.999999997650967,2.17340896148382e-23
122,2,1.70734726171843e-17,1,2.09725911914083e-55
123,2,1.94946569826003e-48,1,1.96591157851352e-37
124,2,1.2210457190824e-40,1,2.79407927514429e-20
125,2,2.50755903293594e-30,1,3.20918800956246e-24
126,2,3.65384536888907e-47,1,9.00160561345941e-39
127,2,3.47085292669018e-42,1,5.2981853284001e-32
128,2,8.34684947892007e-56,1,2.6534745278116e-48
129,2,4.99798749386499e-68,1,4.52541786909812e-52
130,2,1.22980282928827e-22,0.999999999999996,3.81531717544355e-15
131,2,0.00897021970476627,0.739452190891071,0.251577589404162
132,3,7.15789995397365e-17,2.6691291943357e-15,0.999999999999997
133,3,8.54675226407975e-30,9.76955695587709e-19,1
134,3,1.47381720485548e-25,1.37899562370116e-22,1
135,3,2.93505324720538e-21,1.46431025448178e-13,0.999999999999854
136,3,1.61844875866801e-16,6.8991570696126e-20,1
137,3,5.17412401068857e-10,1.17016087226459e-12,0.999999999481417
138,3,2.86145195252148e-33,1.6539818908056e-11,0.99999999998346
139,3,5.77974478226266e-32,3.44057045683158e-18,1
140,3,3.46061317872882e-36,5.28801764338735e-20,1
141,3,2.57039030298406e-14,1.92440326787711e-16,0.999999999999974
142,3,1.0238036914207e-18,3.66247740364206e-38,1
143,3,3.76099269106909e-29,2.37009477948211e-13,0.999999999999763
144,3,4.80095697911913e-30,2.28809330582449e-15,0.999999999999998
145,3,3.38436581426131e-07,3.54220673177672e-48,0.999999661563419
146,3,2.7956230360734e-17,1.43068031730847e-17,1
147,3,3.70012439588642e-45,6.8664749556135e-31,1
148,3,2.64516479801552e-36,1.1540909147486e-56,1
149,3,1.18523416529222e-43,5.43724238502993e-59,1
150,3,8.18900790885733e-29,5.39384368023935e-44,1
151,3,2.05459686377447e-31,8.46367467670161e-41,1
152,3,3.20419911076128e-39,7.41903156054841e-63,1
153,3,2.42764591894909e-50,6.55130282525282e-40,1
154,3,8.3103939943988e-31,2.58437928671525e-55,1
155,3,1.65756929727627e-28,3.23205987711952e-24,1
156,3,2.45241624738724e-34,1.32471340250657e-44,1
157,3,2.07613837941449e-47,1.82520775647948e-57,1
158,3,8.11294314288195e-30,7.24846450619076e-42,1
159,3,1.04384181074079e-65,2.42876689854761e-90,1
160,3,8.88261250359135e-57,6.59508679783571e-81,1
161,3,2.68555197249648e-44,1.17370095162506e-47,1
162,3,1.94537656342504e-20,1.18340109627185e-24,1
163,3,7.21206293891751e-19,1.87953768470016e-08,0.999999981204623
164,3,4.22221925322599e-10,2.46372972156446e-21,0.999999999577778
165,3,1.78238479810523e-46,4.44401738131477e-57,1
166,3,4.7855024763663e-44,2.87650230637739e-26,1
167,3,1.1264136148756e-34,4.11377075823434e-59,1
168,3,2.22283271579141e-34,4.5891517318634e-65,1
169,3,2.31082855486657e-31,1.13057576084205e-51,1
170,3,4.2055477172175e-41,6.51694430248966e-70,1
171,3,2.29333723086578e-21,4.80318532408669e-20,1
172,3,9.63475598317793e-46,8.02756076200158e-58,1
173,3,2.72298141104244e-41,2.63893602947506e-69,1
174,3,1.17745551076777e-28,1.1578893319136e-55,1
175,3,5.22515365014381e-33,7.70272754425359e-46,1
176,3,2.98899288879768e-24,9.01603349958409e-65,1
177,3,2.85505572789262e-16,9.32230550928402e-49,1
178,3,2.36665132235184e-54,1.81029298697437e-65,1
