,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
387,died,1,0
388,survived,0,1
389,survived,0,1
390,died,0.98,0.02
391,died,1,0
392,died,1,0
393,survived,0.02,0.98
394,died,1,0
395,died,1,0
396,survived,0.06,0.94
397,survived,0,1
398,died,1,0
399,survived,0.12,0.88
400,died,0.98,0.02
401,survived,0.04,0.96
402,survived,0.1,0.9
403,survived,0.02,0.98
404,died,1,0
405,died,1,0
406,died,1,0
407,died,1,0
408,survived,0.02,0.98
409,died,1,0
410,died,1,0
412,survived,0.18,0.82
413,died,1,0
414,died,1,0
415,died,1,0
416,survived,0,1
417,died,0.98,0.02
418,died,1,0
419,died,1,0
420,died,1,0
421,died,1,0
422,died,0.98,0.02
423,died,0.98,0.02
424,died,0.98,0.02
425,died,0.98,0.02
426,died,1,0
427,died,0.98,0.02
428,survived,0.04,0.96
429,survived,0.02,0.98
430,died,0.98,0.02
431,survived,0,1
432,died,0.86,0.14
433,died,0.78,0.22
434,died,0.98,0.02
435,survived,0.02,0.98
436,died,0.98,0.02
437,survived,0.04,0.96
438,survived,0,1
439,survived,0,1
440,died,0.96,0.04
441,survived,0,1
442,survived,0.12,0.88
443,died,0.98,0.02
444,died,0.96,0.04
445,died,1,0
446,survived,0.3,0.7
447,survived,0.04,0.96
448,died,0.94,0.06
449,died,1,0
450,survived,0.04,0.96
451,died,0.98,0.02
452,died,1,0
453,survived,0.02,0.98
454,died,1,0
455,died,0.98,0.02
456,died,0.98,0.02
457,died,0.6,0.4
458,died,1,0
459,survived,0.02,0.98
460,died,1,0
461,survived,0.02,0.98
462,died,1,0
463,died,0.98,0.02
464,died,1,0
465,died,0.98,0.02
466,survived,0,1
467,died,1,0
468,survived,0.02,0.98
469,survived,0.06,0.94
471,died,1,0
472,survived,0.04,0.96
473,died,1,0
475,died,0.98,0.02
476,survived,0.36,0.64
477,died,0.94,0.06
479,survived,0.08,0.92
480,survived,0.06,0.94
481,died,0.94,0.06
482,survived,0,1
483,survived,0.02,0.98
485,survived,0,1
486,died,1,0
487,died,0.98,0.02
488,died,0.92,0.08
489,died,1,0
490,survived,0.14,0.86
491,survived,0.34,0.66
493,survived,0.06,0.94
494,died,0.96,0.04
495,survived,0,1
497,died,0.98,0.02
498,died,1,0
499,died,0.98,0.02
500,died,0.98,0.02
501,died,1,0
502,survived,0,1
503,survived,0.02,0.98
504,died,0.96,0.04
505,died,1,0
506,died,1,0
507,died,0.9,0.1
508,died,1,0
509,died,1,0
510,died,1,0
511,died,0.98,0.02
512,died,0.78,0.22
513,died,0.98,0.02
514,survived,0,1
515,survived,0.04,0.96
516,survived,0.04,0.96
517,died,0.94,0.06
518,died,1,0
519,died,0.76,0.24
520,died,1,0
521,died,0.96,0.04
522,survived,0,1
523,died,1,0
524,died,0.96,0.04
526,died,1,0
527,died,0.96,0.04
528,died,1,0
530,survived,0,1
531,died,0.96,0.04
533,died,1,0
534,survived,0,1
535,survived,0.02,0.98
536,died,1,0
537,survived,0,1
538,died,0.98,0.02
539,died,0.98,0.02
540,died,1,0
541,survived,0.04,0.96
542,survived,0.04,0.96
543,survived,0,1
544,died,1,0
545,died,1,0
546,survived,0.02,0.98
547,survived,0,1
548,died,1,0
549,survived,0.04,0.96
550,survived,0.04,0.96
551,survived,0.02,0.98
552,survived,0.02,0.98
553,died,0.96,0.04
554,survived,0,1
555,died,1,0
556,died,1,0
557,died,1,0
558,survived,0.04,0.96
559,survived,0.04,0.96
560,survived,0,1
561,survived,0,1
562,died,0.98,0.02
563,survived,0,1
564,died,1,0
565,survived,0.02,0.98
566,died,1,0
567,died,1,0
568,died,1,0
569,died,1,0
570,died,0.96,0.04
571,survived,0.02,0.98
572,died,1,0
573,survived,0,1
574,survived,0,1
575,died,1,0
576,survived,0.1,0.9
577,died,1,0
578,survived,0,1
579,died,1,0
580,died,1,0
581,survived,0,1
583,survived,0,1
584,survived,0.02,0.98
585,survived,0,1
586,died,1,0
587,survived,0.02,0.98
588,survived,0.04,0.96
589,survived,0,1
590,survived,0,1
591,survived,0.08,0.92
592,survived,0,1
593,died,0.94,0.06
594,survived,0,1
595,died,0.86,0.14
597,died,0.98,0.02
599,survived,0,1
600,survived,0.06,0.94
601,died,1,0
602,died,0.86,0.14
603,died,1,0
604,survived,0.34,0.66
605,survived,0.16,0.84
606,died,0.94,0.06
607,died,1,0
608,died,0.56,0.44
609,died,1,0
610,died,0.98,0.02
611,died,0.64,0.36
612,survived,0.12,0.88
613,survived,0.44,0.56
614,died,0.98,0.02
615,died,0.98,0.02
616,died,1,0
617,died,0.98,0.02
618,died,0.94,0.06
619,died,0.98,0.02
620,died,1,0
621,died,0.88,0.12
622,died,0.52,0.48
623,died,0.68,0.32
624,died,0.76,0.24
625,died,0.64,0.36
626,died,0.56,0.44
627,died,0.7,0.3
628,died,0.88,0.12
629,died,0.88,0.12
630,died,1,0
631,died,0.98,0.02
632,died,0.98,0.02
633,died,0.62,0.38
634,died,1,0
635,died,0.98,0.02
636,died,0.98,0.02
637,died,0.62,0.38
638,died,0.98,0.02
639,died,0.98,0.02
640,died,0.78,0.22
641,died,0.9,0.1
642,survived,0.48,0.52
643,died,0.98,0.02
644,died,0.56,0.44
645,died,1,0
646,died,1,0
647,survived,0.36,0.64
648,survived,0.48,0.52
649,died,1,0
650,died,1,0
651,died,0.56,0.44
652,died,1,0
653,died,1,0
654,survived,0.16,0.84
655,died,1,0
656,died,0.96,0.04
657,survived,0.16,0.84
658,survived,0.14,0.86
659,survived,0.14,0.86
660,survived,0.18,0.82
661,survived,0.18,0.82
662,died,0.56,0.44
663,died,1,0
664,died,0.98,0.02
665,died,1,0
666,survived,0.44,0.56
667,died,0.62,0.38
668,survived,0.5,0.5
669,died,1,0
670,died,1,0
671,died,0.98,0.02
672,died,1,0
674,died,1,0
675,died,0.88,0.12
676,died,1,0
677,died,1,0
678,died,0.98,0.02
679,died,0.56,0.44
680,died,0.6,0.4
684,died,1,0
685,died,0.54,0.46
686,died,1,0
687,survived,0.36,0.64
688,died,0.62,0.38
689,died,1,0
690,died,1,0
691,died,1,0
692,died,0.98,0.02
693,died,0.6,0.4
694,died,1,0
695,died,1,0
696,died,0.56,0.44
697,died,0.62,0.38
698,survived,0.48,0.52
699,died,1,0
700,died,1,0
701,died,1,0
702,died,1,0
703,died,0.62,0.38
704,died,1,0
705,died,1,0
708,died,1,0
709,died,0.98,0.02
710,survived,0.16,0.84
711,died,0.62,0.38
712,died,1,0
713,died,0.98,0.02
714,died,1,0
715,died,0.88,0.12
716,died,1,0
717,died,1,0
718,died,1,0
719,died,1,0
720,died,1,0
721,died,0.98,0.02
722,died,0.98,0.02
723,died,0.98,0.02
724,died,1,0
725,died,1,0
726,survived,0.36,0.64
727,survived,0.48,0.52
728,died,0.98,0.02
729,died,1,0
730,died,0.98,0.02
731,died,0.98,0.02
732,died,1,0
733,died,1,0
734,died,0.6,0.4
735,survived,0.1,0.9
736,survived,0.36,0.64
737,died,1,0
738,died,1,0
739,survived,0.36,0.64
740,died,0.94,0.06
741,died,1,0
742,died,1,0
743,died,0.92,0.08
744,survived,0.36,0.64
745,died,1,0
746,survived,0.48,0.52
747,died,1,0
748,died,0.62,0.38
749,died,1,0
750,survived,0.46,0.54
751,died,0.98,0.02
752,died,0.94,0.06
753,died,0.98,0.02
754,died,1,0
755,died,1,0
756,died,1,0
759,died,0.76,0.24
760,survived,0.28,0.72
761,died,1,0
762,died,0.98,0.02
763,survived,0.16,0.84
764,survived,0.2,0.8
765,died,0.96,0.04
766,survived,0.32,0.68
767,died,0.94,0.06
770,died,1,0
771,died,0.98,0.02
772,died,0.52,0.48
773,died,1,0
774,died,1,0
775,died,1,0
777,died,0.88,0.12
778,died,1,0
779,survived,0.48,0.52
780,died,0.5,0.5
781,survived,0.38,0.62
782,died,0.96,0.04
783,died,0.96,0.04
784,died,0.98,0.02
785,died,1,0
786,survived,0.36,0.64
787,died,1,0
788,died,0.98,0.02
789,died,0.92,0.08
791,died,0.86,0.14
792,died,1,0
793,died,1,0
794,died,1,0
795,survived,0.04,0.96
797,died,1,0
798,died,1,0
800,died,1,0
804,died,0.98,0.02
807,died,0.66,0.34
808,died,0.78,0.22
810,died,0.98,0.02
811,died,0.96,0.04
812,died,0.68,0.32
815,died,0.94,0.06
818,died,1,0
819,survived,0.16,0.84
821,survived,0.42,0.58
822,died,1,0
823,died,1,0
824,survived,0.42,0.58
825,died,1,0
826,died,0.92,0.08
827,died,0.72,0.28
828,died,0.96,0.04
829,died,0.92,0.08
830,died,0.84,0.16
831,died,1,0
832,died,1,0
833,died,0.8,0.2
834,died,1,0
835,died,0.88,0.12
837,died,1,0
838,died,0.96,0.04
839,died,1,0
840,died,1,0
841,survived,0.5,0.5
842,died,0.56,0.44
845,died,1,0
846,survived,0.36,0.64
847,died,1,0
848,died,1,0
849,died,1,0
850,died,1,0
851,died,1,0
852,survived,0.46,0.54
854,died,0.94,0.06
856,died,0.9,0.1
858,died,0.98,0.02
860,died,0.56,0.44
861,survived,0.44,0.56
862,survived,0.38,0.62
863,survived,0.36,0.64
864,died,1,0
865,died,0.54,0.46
867,survived,0.1,0.9
868,survived,0.3,0.7
869,died,1,0
870,died,1,0
871,died,0.5,0.5
874,died,1,0
876,died,1,0
878,died,0.54,0.46
879,survived,0.42,0.58
881,died,1,0
882,died,1,0
884,died,1,0
885,died,1,0
886,died,1,0
889,died,0.94,0.06
890,died,0.98,0.02
891,died,1,0
892,died,0.96,0.04
893,died,1,0
894,died,1,0
895,survived,0.16,0.84
896,survived,0.26,0.74
897,died,1,0
898,died,0.96,0.04
899,died,1,0
900,survived,0.26,0.74
905,died,1,0
906,died,0.88,0.12
907,died,0.98,0.02
908,died,0.62,0.38
909,died,0.64,0.36
910,died,0.88,0.12
911,died,1,0
912,died,1,0
913,died,1,0
914,died,1,0
915,died,0.96,0.04
916,died,1,0
917,survived,0.1,0.9
918,died,0.76,0.24
920,died,1,0
925,died,0.96,0.04
926,died,1,0
933,died,0.6,0.4
934,died,1,0
935,survived,0.14,0.86
936,survived,0.5,0.5
937,survived,0.34,0.66
938,survived,0.26,0.74
939,died,1,0
940,survived,0.36,0.64
942,died,0.94,0.06
944,died,0.62,0.38
948,survived,0.36,0.64
950,died,0.98,0.02
951,died,1,0
952,died,1,0
953,died,1,0
954,died,1,0
960,died,0.88,0.12
961,died,0.96,0.04
964,died,0.98,0.02
965,died,0.98,0.02
966,died,0.98,0.02
967,survived,0.5,0.5
968,survived,0.48,0.52
969,died,0.82,0.18
970,survived,0.5,0.5
971,died,1,0
973,died,1,0
975,died,1,0
976,survived,0.48,0.52
978,died,1,0
979,died,0.98,0.02
980,died,1,0
981,survived,0.38,0.62
982,died,0.88,0.12
986,died,0.98,0.02
987,died,1,0
991,died,1,0
993,survived,0.48,0.52
996,died,0.98,0.02
997,died,0.96,0.04
1008,survived,0.16,0.84
1009,survived,0.34,0.66
1011,died,0.98,0.02
1012,died,0.52,0.48
1016,died,1,0
1018,died,1,0
1020,died,0.98,0.02
1021,died,1,0
1022,died,1,0
1025,died,0.94,0.06
1026,survived,0.46,0.54
1027,survived,0.32,0.68
1032,died,0.94,0.06
1041,died,0.5,0.5
1046,died,1,0
1047,died,1,0
1048,survived,0.16,0.84
1049,survived,0.24,0.76
1050,died,1,0
1051,died,0.54,0.46
1052,died,0.96,0.04
1057,died,0.9,0.1
1058,survived,0.38,0.62
1059,died,0.52,0.48
1060,died,1,0
1061,died,0.56,0.44
1062,survived,0.44,0.56
1063,died,1,0
1064,died,1,0
1065,died,0.98,0.02
1066,died,1,0
1067,died,1,0
1068,survived,0.36,0.64
1069,died,1,0
1076,died,1,0
1080,survived,0.36,0.64
1083,survived,0.46,0.54
1084,died,1,0
1085,died,0.94,0.06
1087,survived,0.42,0.58
1088,died,1,0
1089,died,0.88,0.12
1090,died,1,0
1091,survived,0.38,0.62
1092,died,0.62,0.38
1093,died,1,0
1094,died,0.98,0.02
1095,survived,0.42,0.58
1097,survived,0.24,0.76
1098,died,0.62,0.38
1099,survived,0.14,0.86
1100,survived,0.38,0.62
1101,survived,0.12,0.88
1102,survived,0.36,0.64
1103,died,0.74,0.26
1104,survived,0.34,0.66
1105,died,0.88,0.12
1106,died,0.88,0.12
1107,died,0.62,0.38
1108,died,1,0
1109,died,1,0
1111,died,0.88,0.12
1112,survived,0.1,0.9
1113,survived,0.2,0.8
1114,survived,0.24,0.76
1118,died,1,0
1119,died,0.94,0.06
1120,died,1,0
1121,died,0.98,0.02
1126,died,0.98,0.02
1127,died,0.54,0.46
1128,died,1,0
1130,died,0.98,0.02
1131,died,0.56,0.44
1132,died,0.88,0.12
1134,died,1,0
1135,died,0.98,0.02
1140,died,1,0
1141,died,1,0
1142,died,0.74,0.26
1143,survived,0.42,0.58
1144,died,0.74,0.26
1145,survived,0.34,0.66
1146,died,0.68,0.32
1147,died,0.54,0.46
1148,survived,0.36,0.64
1149,died,0.98,0.02
1153,died,0.98,0.02
1154,died,0.5,0.5
1157,survived,0.2,0.8
1158,died,1,0
1159,died,0.68,0.32
1161,died,1,0
1162,died,0.98,0.02
1166,died,0.94,0.06
1170,died,1,0
1172,died,1,0
1182,died,0.98,0.02
1183,died,0.62,0.38
1184,died,0.98,0.02
1188,survived,0.26,0.74
1189,survived,0.32,0.68
1190,survived,0.2,0.8
1191,died,0.94,0.06
1192,died,1,0
1193,died,0.98,0.02
1197,died,1,0
1202,died,1,0
1204,died,1,0
1205,died,1,0
1206,died,0.56,0.44
1207,died,0.56,0.44
1208,died,0.72,0.28
1209,died,0.68,0.32
1210,survived,0.34,0.66
1211,died,1,0
1212,died,0.64,0.36
1218,died,1,0
1219,died,1,0
1221,died,0.88,0.12
1223,died,0.96,0.04
1224,survived,0.38,0.62
1225,died,1,0
1226,died,1,0
1227,died,1,0
1228,survived,0.36,0.64
1229,died,1,0
1230,died,0.98,0.02
1231,survived,0.1,0.9
1232,survived,0.42,0.58
1233,died,0.98,0.02
1234,died,1,0
1235,died,0.94,0.06
1236,died,0.98,0.02
1237,died,0.96,0.04
1238,died,0.98,0.02
1239,died,0.94,0.06
1240,died,0.94,0.06
1241,survived,0.34,0.66
1245,died,0.5,0.5
1249,died,0.88,0.12
1252,died,1,0
1253,died,1,0
1255,died,0.94,0.06
1257,died,0.56,0.44
1258,died,0.6,0.4
1259,survived,0.28,0.72
1260,died,0.98,0.02
1261,died,0.56,0.44
1262,died,0.56,0.44
1264,died,0.78,0.22
1265,died,0.96,0.04
1266,survived,0.42,0.58
1267,died,0.94,0.06
1268,survived,0.42,0.58
1270,died,0.96,0.04
1271,died,1,0
1272,died,1,0
1273,died,1,0
1274,died,0.68,0.32
1275,died,0.84,0.16
1276,died,0.98,0.02
1277,survived,0.44,0.56
1278,died,1,0
1279,died,1,0
1280,survived,0.16,0.84
1281,died,1,0
1282,died,1,0
1286,died,0.9,0.1
1287,died,0.64,0.36
1288,died,1,0
1289,died,1,0
1290,died,1,0
1291,died,0.5,0.5
1295,died,1,0
1296,died,1,0
1297,died,0.98,0.02
1299,died,0.98,0.02
1300,died,1,0
1301,survived,0.38,0.62
1302,died,0.92,0.08
1305,survived,0.38,0.62
1307,died,0.98,0.02
1308,died,0.98,0.02
1309,died,1,0
