,Predicted_Survived,NotSurvivedProbability,SurvivedProbability
202,0,0.787604535593071,0.212395464406929
203,0,0.782436927089063,0.217563072910937
204,0,0.815365246057082,0.184634753942918
206,0,0.790710309861664,0.209289690138336
207,0,0.848933373897246,0.151066626102754
208,1,0.274530783840979,0.725469216159021
209,1,0.276677551491493,0.723322448508507
210,0,0.815867590693997,0.184132409306003
211,0,0.787888508362365,0.212111491637635
212,0,0.785607562943749,0.214392437056251
213,0,0.770378217767247,0.229621782232753
214,1,0.273458816974445,0.726541183025555
215,1,0.269180671845942,0.730819328154058
216,0,0.764042771721853,0.235957228278147
217,1,0.161769366052891,0.838230633947109
218,0,0.790429593057629,0.209570406942371
219,1,0.210459969150683,0.789540030849317
221,1,0.182171164354223,0.817828835645777
222,0,0.778748589083366,0.221251410916634
223,0,0.780252202348259,0.219747797651741
225,0,0.785177549517135,0.214822450482865
226,0,0.778638194808953,0.221361805191047
227,0,0.815616569458715,0.184383430541285
228,1,0.26864702187741,0.73135297812259
229,0,0.812835338729947,0.187164661270053
230,1,0.265982602898488,0.734017397101512
231,1,0.206016758782756,0.793983241217244
232,0,0.787035609377931,0.212964390622069
233,0,0.785607562943749,0.214392437056251
234,1,0.198386369191314,0.801613630808686
235,0,0.783016374590216,0.216983625409784
237,0,0.778343656044664,0.221656343955336
239,1,0.192121796278309,0.807878203721691
240,0,0.780982516625688,0.219017483374312
241,0,0.785034047402135,0.214965952597865
243,1,0.207494001923366,0.792505998076634
244,0,0.785320969460884,0.214679030539116
245,0,0.782436927089063,0.217563072910937
246,1,0.207494001923366,0.792505998076634
247,0,0.822045641855457,0.177954358144543
248,1,0.285841449429637,0.714158550570363
249,0,0.781565274746224,0.218434725253777
250,0,0.823136027791514,0.176863972208486
251,1,0.291527423150741,0.708472576849259
252,1,0.293157153175029,0.706842846824971
253,0,0.790953471648911,0.209046528351089
254,1,0.217371983202014,0.782628016797986
256,1,0.203073942269844,0.796926057730156
258,1,0.27560369928617,0.72439630071383
259,1,0.206016758782756,0.793983241217244
260,0,0.781856156625167,0.218143843374833
261,1,0.210955768900162,0.789044231099838
262,0,0.782146707334744,0.217853292665256
263,0,0.820824941545194,0.179175058454806
264,1,0.277752328644237,0.722247671355763
265,0,0.788172154534292,0.211827845465708
266,0,0.780105890343643,0.219894109656357
267,0,0.788172154534292,0.211827845465708
268,0,0.788172154534292,0.211827845465708
269,0,0.814356925858288,0.185643074141712
271,1,0.266514970975922,0.733485029024078
272,0,0.814356925858288,0.185643074141712
273,1,0.269180671845942,0.730819328154058
274,0,0.747418267950418,0.252581732049582
275,0,0.80908040869362,0.19091959130638
276,1,0.256116556201167,0.743883443798833
277,0,0.82253185030453,0.17746814969547
279,0,0.781274061484182,0.218725938515818
280,0,0.78986718545009,0.21013281454991
281,0,0.821802094201009,0.178197905798991
282,1,0.279904610572657,0.720095389427343
283,1,0.284760111007848,0.715239888992152
285,1,0.221966294012917,0.778033705987083
286,0,0.82494522054805,0.17505477945195
287,1,0.290717510238009,0.709282489761991
288,0,0.789585494198631,0.210414505801369
289,1,0.214937052072088,0.785062947927912
290,1,0.1613243929481,0.8386756070519
291,0,0.810885836345412,0.189114163654588
292,1,0.25558957753375,0.74441042246625
293,0,0.820334584495334,0.179665415504666
295,0,0.810113926880677,0.189886073119323
296,0,0.751013611112459,0.248986388887541
297,1,0.25558957753375,0.74441042246625
299,0,0.780982516625688,0.219017483374312
300,0,0.783594500848913,0.216405499151087
301,0,0.789585494198631,0.210414505801369
302,0,0.785607562943749,0.214392437056251
303,1,0.208480966139053,0.791519033860947
304,0,0.824224294167359,0.175775705832641
305,1,0.289090366739343,0.710909633260657
306,0,0.789303477683943,0.210696522316057
307,0,0.775491654929345,0.224508345070655
308,0,0.765476060208659,0.234523939791341
309,1,0.218441984850949,0.781558015149051
310,1,0.167151820188915,0.832848179811085
311,0,0.812166220761014,0.187833779238986
312,1,0.258755746212304,0.741244253787696
313,0,0.810371537171432,0.189628462828568
314,0,0.754245310590004,0.245754689409996
315,1,0.261401961517961,0.738598038482039
316,1,0.201608444022806,0.798391555977194
317,0,0.77459636193988,0.22540363806012
318,0,0.765476060208659,0.234523939791341
320,1,0.206508744205317,0.793491255794683
322,0,0.78986718545009,0.21013281454991
323,1,0.208975084677654,0.791024915322346
324,0,0.815867590693997,0.184132409306003
325,1,0.27185267112585,0.72814732887415
326,0,0.780690639957766,0.219309360042234
327,0,0.777162161810729,0.222837838189271
328,0,0.779226272049391,0.22077372795061
329,0,0.816868658908391,0.183131341091609
330,1,0.27614050903225,0.72385949096775
331,0,0.788455474330384,0.211544525669616
332,0,0.777162161810729,0.222837838189271
333,0,0.778638194808953,0.221361805191047
334,1,0.208975084677654,0.791024915322346
335,0,0.780105890343643,0.219894109656357
336,0,0.786750655490699,0.213249344509301
337,0,0.816368727652543,0.183631272347457
338,1,0.267047598393652,0.732952401606348
339,0,0.780105890343643,0.219894109656357
340,0,0.830179271005788,0.169820728994212
341,1,0.306594326182807,0.693405673817193
342,1,0.310980442575586,0.689019557424414
343,1,0.150975569511896,0.849024430488104
344,0,0.781856156625167,0.218143843374833
345,1,0.200633659478451,0.799366340521549
346,0,0.778638194808953,0.221361805191047
347,0,0.779519810945671,0.220480189054329
348,0,0.784171307591316,0.215828692408684
349,0,0.779813016973406,0.220186983026594
350,1,0.203073942269844,0.796926057730156
351,1,0.159992801639002,0.840007198360998
352,0,0.812930783324379,0.187069216675621
353,1,0.256116556201167,0.743883443798833
354,1,0.267580483670478,0.732419516329522
355,0,0.81460946038929,0.18539053961071
356,1,0.208975084677654,0.791024915322346
357,0,0.779226272049391,0.22077372795061
358,0,0.784171307591316,0.215828692408684
359,1,0.21194861732186,0.78805138267814
360,0,0.745714840855903,0.254285159144097
361,0,0.8041035421723,0.1958964578277
362,1,0.246676503236912,0.753323496763088
363,1,0.208480966139053,0.791519033860947
365,0,0.777458036663068,0.222541963336932
366,1,0.28044324070738,0.71955675929262
367,0,0.821802094201009,0.178197905798991
368,0,0.787035609377931,0.212964390622069
369,0,0.817616299427542,0.182383700572459
370,1,0.272387810510497,0.727612189489503
371,1,0.248242989575868,0.751757010424132
372,1,0.173529205898493,0.826470794101507
373,0,0.815616569458715,0.184383430541285
374,1,0.27185267112585,0.72814732887415
375,0,0.780398431267821,0.219601568732179
376,0,0.780105890343643,0.219894109656357
377,0,0.778932400073906,0.221067599926094
378,1,0.156905316504827,0.843094683495173
379,0,0.805424131605504,0.194575868394496
380,1,0.251384309058807,0.748615690941193
381,1,0.202096501962717,0.797903498037283
382,1,0.206016758782756,0.793983241217244
384,0,0.778048783571567,0.221951216428432
386,0,0.799284418846833,0.200715581153167
387,0,0.777162161810729,0.222837838189271
388,1,0.174909199055629,0.825090800944371
389,1,0.205034081796025,0.794965918203975
390,0,0.781274061484182,0.218725938515818
391,0,0.776865952415715,0.223134047584285
392,0,0.815616569458715,0.184383430541285
393,1,0.269714573750454,0.730285426249546
394,0,0.779226272049391,0.22077372795061
395,0,0.777162161810729,0.222837838189271
396,1,0.180300322405175,0.819699677594825
397,1,0.187831139484917,0.812168860515083
398,0,0.787604535593071,0.212395464406929
399,0,0.748075129846546,0.251924870153454
400,0,0.808302032393047,0.191697967606953
401,1,0.252959062344924,0.747040937655076
402,1,0.271317776278064,0.728682223721936
403,1,0.272923192952952,0.727076807047048
404,0,0.778638194808953,0.221361805191047
405,0,0.778048783571567,0.221951216428432
406,0,0.777162161810729,0.222837838189271
407,0,0.818361238253791,0.181638761746209
408,1,0.272387810510497,0.727612189489503
409,0,0.777162161810729,0.222837838189271
410,0,0.782436927089063,0.217563072910937
412,1,0.209964587590889,0.790035412409111
413,0,0.782146707334744,0.217853292665256
414,0,0.817864912227165,0.182135087772835
415,0,0.816868658908391,0.183131341091609
416,1,0.207987271419779,0.792012728580221
417,0,0.776569408270575,0.223430591729425
418,0,0.779519810945671,0.220480189054329
419,0,0.785607562943749,0.214392437056251
420,0,0.813597500897472,0.186402499102529
421,0,0.813597500897472,0.186402499102529
422,0,0.778932400073906,0.221067599926094
423,0,0.778932400073906,0.221067599926094
424,0,0.781856156625167,0.218143843374833
425,0,0.780690639957766,0.219309360042234
426,0,0.787035609377931,0.212964390622069
427,0,0.780690639957766,0.219309360042234
428,0,0.797291691458666,0.202708308541334
429,1,0.164002499141672,0.835997500858328
430,0,0.784746796549398,0.215253203450602
431,1,0.174736400258765,0.825263599741235
432,0,0.767631488171936,0.232368511828064
433,0,0.78986718545009,0.21013281454991
434,0,0.780690639957766,0.219309360042234
435,1,0.156466499526527,0.843533500473473
436,0,0.808561799992455,0.191438200007545
437,1,0.258755746212304,0.741244253787696
438,1,0.226267116197286,0.773732883802714
439,1,0.226267116197286,0.773732883802714
440,0,0.799115275659937,0.200884724340063
441,1,0.238564515517729,0.761435484482271
442,1,0.218441984850949,0.781558015149051
443,0,0.844678406386232,0.155321593613768
444,0,0.846393265828893,0.153606734171108
445,0,0.844030876704292,0.155969123295708
446,1,0.244592272395196,0.755407727604804
447,1,0.315375477115449,0.684624522884551
448,0,0.835246314247161,0.164753685752839
449,0,0.782436927089063,0.217563072910937
450,1,0.220386626963462,0.779613373036538
451,0,0.786465374123335,0.213534625876665
452,0,0.819350298968627,0.180649701031373
453,1,0.272387810510497,0.727612189489503
454,0,0.778048783571567,0.221951216428432
455,0,0.784171307591316,0.215828692408684
456,0,0.823983398818464,0.176016601181536
457,1,0.289090366739343,0.710909633260657
458,0,0.781565274746224,0.218434725253777
459,1,0.199660659237839,0.800339340762161
460,0,0.818856366505025,0.181143633494975
461,1,0.317576110727533,0.682423889272467
462,0,0.785607562943749,0.214392437056251
463,0,0.844678406386232,0.155321593613768
464,0,0.844246990932516,0.155753009067484
465,0,0.781274061484182,0.218725938515818
466,1,0.202585001839537,0.797414998160463
467,0,0.816868658908391,0.183131341091609
468,1,0.269714573750454,0.730285426249546
469,1,0.202096501962717,0.797903498037283
471,0,0.782146707334744,0.217853292665256
472,1,0.21344099104895,0.78655900895105
473,0,0.788455474330384,0.211544525669616
475,0,0.780982516625688,0.219017483374312
476,1,0.248765774898173,0.751234225101827
477,0,0.805160638269253,0.194839361730747
479,1,0.214683489815539,0.785316510184461
480,1,0.215682482585102,0.784317517414898
481,0,0.792524860935214,0.207475139064786
482,1,0.225251756373147,0.774748243626853
483,1,0.199660659237839,0.800339340762161
485,1,0.207987271419779,0.792012728580221
486,0,0.782436927089063,0.217563072910937
487,0,0.778932400073906,0.221067599926094
488,0,0.789585494198631,0.210414505801369
489,0,0.820824941545194,0.179175058454806
490,1,0.279366202824875,0.720633797175125
491,1,0.219446974638306,0.780553025361694
493,0,0.745769947737212,0.254230052262788
494,0,0.805424131605504,0.194575868394496
495,1,0.247720514873119,0.752279485126881
497,0,0.780690639957766,0.219309360042234
498,0,0.783594500848913,0.216405499151087
499,0,0.781274061484182,0.218725938515818
500,0,0.780690639957766,0.219309360042234
501,0,0.785320969460884,0.214679030539116
502,1,0.177973094522007,0.822026905477993
503,1,0.191164992340439,0.808835007659561
504,0,0.777458036663068,0.222541963336932
505,0,0.783305602767124,0.216694397232876
506,0,0.785893828069185,0.214106171930815
507,0,0.792109032872082,0.207890967127918
508,0,0.779813016973406,0.220186983026594
509,0,0.787604535593071,0.212395464406929
510,0,0.783305602767124,0.216694397232876
511,0,0.776569408270575,0.223430591729425
512,0,0.78986718545009,0.21013281454991
513,0,0.816493823423903,0.183506176576097
514,1,0.264387069522016,0.735612930477984
515,0,0.797655271163552,0.202344728836448
516,0,0.797927590999718,0.202072409000282
517,0,0.757283125591079,0.242716874408921
518,0,0.779519810945671,0.220480189054329
519,0,0.802241564745746,0.197758435254254
520,0,0.780105890343643,0.219894109656357
521,0,0.777753577180592,0.222246422819408
522,1,0.205525204181178,0.794474795818822
523,0,0.783305602767124,0.216694397232876
524,0,0.778343656044664,0.221656343955336
526,0,0.778638194808953,0.221361805191047
527,0,0.780398431267821,0.219601568732179
528,0,0.780105890343643,0.219894109656357
530,1,0.195485345877367,0.804514654122633
531,0,0.777458036663068,0.222541963336932
533,0,0.783883069051539,0.216116930948461
534,1,0.181702704035774,0.818297295964226
535,1,0.200633659478451,0.799366340521549
536,0,0.772194101074021,0.227805898925979
537,1,0.207001159051763,0.792998840948237
538,0,0.781856156625167,0.218143843374833
539,0,0.780690639957766,0.219309360042234
540,0,0.779813016973406,0.220186983026594
541,1,0.236307644694512,0.763692355305488
542,1,0.239404368509706,0.760595631490294
543,1,0.168056490799992,0.831943509200008
544,0,0.782436927089063,0.217563072910937
545,0,0.816868658908391,0.183131341091609
546,1,0.415870875173992,0.584129124826008
547,1,0.205034081796025,0.794965918203975
548,0,0.778638194808953,0.221361805191047
549,0,0.797337152860776,0.202662847139224
550,0,0.797927590999718,0.202072409000282
551,1,0.272316704757878,0.727683295242122
552,1,0.215936455639992,0.784063544360008
553,0,0.777458036663068,0.222541963336932
554,1,0.201608444022806,0.798391555977194
555,0,0.779519810945671,0.220480189054329
556,0,0.779226272049391,0.22077372795061
557,0,0.779813016973406,0.220186983026594
558,1,0.183579526541565,0.816420473458435
559,1,0.1613243929481,0.8386756070519
560,1,0.201120829401439,0.798879170598561
561,1,0.206016758782756,0.793983241217244
562,0,0.789021135682851,0.210978864317149
563,1,0.206016758782756,0.793983241217244
564,0,0.782146707334744,0.217853292665256
565,1,0.210955768900162,0.789044231099838
566,0,0.779226272049391,0.22077372795061
567,0,0.783883069051539,0.216116930948461
568,0,0.779226272049391,0.22077372795061
569,0,0.777310141041751,0.222689858958249
570,0,0.775975314902156,0.224024685097844
571,1,0.215936455639992,0.784063544360008
572,0,0.778638194808953,0.221361805191047
573,1,0.205034081796025,0.794965918203975
574,1,0.204543393021075,0.795456606978925
575,0,0.815616569458715,0.184383430541285
576,1,0.271317776278064,0.728682223721936
577,0,0.783594500848913,0.216405499151087
578,1,0.206508744205317,0.793491255794683
579,0,0.815867590693997,0.184132409306003
580,0,0.814104087929777,0.185895912070223
581,1,0.206508744205317,0.793491255794683
583,1,0.197236037092147,0.802763962907853
584,1,0.210955768900162,0.789044231099838
585,1,0.207247527071904,0.792752472928096
586,0,0.815113620242537,0.184886379757463
587,1,0.272387810510497,0.727612189489503
588,0,0.797655271163552,0.202344728836448
589,1,0.23733852365167,0.76266147634833
590,1,0.16624930363512,0.83375069636488
591,1,0.214641916933024,0.785358083066976
592,1,0.216683088599681,0.783316911400319
593,0,0.795568364494781,0.204431635505219
594,1,0.230854536747478,0.769145463252522
595,0,0.790990702298376,0.209009297701625
597,0,0.780982516625688,0.219017483374312
599,1,0.20405313924842,0.79594686075158
600,1,0.203073942269844,0.796926057730156
601,0,0.784171307591316,0.215828692408684
602,0,0.749711130263574,0.250288869736426
603,0,0.801438859404796,0.198561140595204
604,1,0.253484576692986,0.746515423307014
605,1,0.199174831670726,0.800825168329274
606,0,0.779226272049391,0.22077372795061
607,0,0.777753577180592,0.222246422819408
608,1,0.200146935631857,0.799853064368143
609,0,0.780690639957766,0.219309360042234
610,0,0.779519810945671,0.220480189054329
611,1,0.278290060386111,0.721709939613889
612,0,0.759172389511471,0.240827610488529
613,1,0.180300322405175,0.819699677594825
614,0,0.779519810945671,0.220480189054329
615,0,0.779519810945671,0.220480189054329
616,0,0.777753577180592,0.222246422819408
617,0,0.778932400073906,0.221067599926094
618,0,0.779226272049391,0.22077372795061
619,0,0.782146707334744,0.217853292665256
620,0,0.777162161810729,0.222837838189271
621,0,0.781274061484182,0.218725938515818
622,1,0.267047598393652,0.732952401606348
623,0,0.875197568211993,0.124802431788007
624,1,0.428243350800936,0.571756649199064
625,1,0.42604734008616,0.57395265991384
626,1,0.434271789555454,0.565728210444546
627,1,0.44573341887271,0.55426658112729
628,1,0.429889039704612,0.570110960295388
629,1,0.43098552201368,0.56901447798632
630,0,0.759617350657034,0.240382649342966
631,0,0.779813016973406,0.220186983026594
632,0,0.779519810945671,0.220480189054329
633,1,0.173009317512645,0.826990682487355
634,0,0.777753577180592,0.222246422819408
635,0,0.779519810945671,0.220480189054329
636,0,0.81460946038929,0.18539053961071
637,1,0.266514970975922,0.733485029024078
638,0,0.778932400073906,0.221067599926094
639,0,0.782146707334744,0.217853292665256
640,0,0.875373736781001,0.124626263218999
641,0,0.876076107489963,0.123923892510037
642,0,0.875021168789209,0.124978831210791
643,0,0.876774804408594,0.123225195591406
644,1,0.427694534500277,0.572305465499723
645,0,0.759932744937293,0.240067255062707
646,0,0.778638194808953,0.221361805191047
647,1,0.172550953032025,0.827449046967975
648,1,0.21344099104895,0.78655900895105
649,0,0.778048783571567,0.221951216428432
650,0,0.778638194808953,0.221361805191047
651,1,0.199660659237839,0.800339340762161
652,0,0.780690639957766,0.219309360042234
653,0,0.778638194808953,0.221361805191047
654,1,0.197720055645976,0.802279944354024
655,0,0.777753577180592,0.222246422819408
656,0,0.816368727652543,0.183631272347457
657,1,0.417524374150795,0.582475625849205
658,1,0.304815181704964,0.695184818295036
659,1,0.304815181704964,0.695184818295036
660,1,0.307142077994558,0.692857922005442
661,1,0.145842142680027,0.854157857319973
662,1,0.200146935631857,0.799853064368143
663,0,0.783594500848913,0.216405499151087
664,0,0.779519810945671,0.220480189054329
665,0,0.777753577180592,0.222246422819408
666,1,0.180300322405175,0.819699677594825
667,1,0.193080480403159,0.806919519596841
668,1,0.204543393021075,0.795456606978925
669,0,0.778343656044664,0.221656343955336
670,0,0.777458036663068,0.222541963336932
671,0,0.779519810945671,0.220480189054329
672,0,0.778343656044664,0.221656343955336
674,0,0.777753577180592,0.222246422819408
675,0,0.781274061484182,0.218725938515818
676,0,0.778048783571567,0.221951216428432
677,0,0.777162161810729,0.222837838189271
678,0,0.779519810945671,0.220480189054329
679,0,0.798742641043947,0.201257358956053
680,1,0.239921672604149,0.760078327395851
684,0,0.807781569488965,0.192218430511035
685,1,0.251908927047642,0.748091072952358
686,0,0.778048783571567,0.221951216428432
687,1,0.202096501962717,0.797903498037283
688,1,0.201120829401439,0.798879170598561
689,0,0.815616569458715,0.184383430541285
690,0,0.813850946358026,0.186149053641974
691,0,0.778343656044664,0.221656343955336
692,0,0.782146707334744,0.217853292665256
693,1,0.20039024170955,0.79960975829045
694,0,0.778048783571567,0.221951216428432
695,0,0.777458036663068,0.222541963336932
696,1,0.200146935631857,0.799853064368143
697,1,0.201608444022806,0.798391555977194
698,1,0.206016758782756,0.793983241217244
699,0,0.777162161810729,0.222837838189271
700,0,0.783016374590216,0.216983625409784
701,0,0.776865952415715,0.223134047584285
702,0,0.776865952415715,0.223134047584285
703,1,0.201608444022806,0.798391555977194
704,0,0.778048783571567,0.221951216428432
705,0,0.778048783571567,0.221951216428432
708,0,0.780105890343643,0.219894109656357
709,0,0.778932400073906,0.221067599926094
710,1,0.199174831670726,0.800825168329274
711,1,0.209469625630484,0.790530374369516
712,0,0.780105890343643,0.219894109656357
713,0,0.778932400073906,0.221067599926094
714,0,0.778048783571567,0.221951216428432
715,0,0.781274061484182,0.218725938515818
716,0,0.780398431267821,0.219601568732179
717,0,0.814861691768684,0.185138308231316
718,0,0.812835338729947,0.187164661270053
719,0,0.777753577180592,0.222246422819408
720,0,0.777162161810729,0.222837838189271
721,0,0.778932400073906,0.221067599926094
722,0,0.782436927089063,0.217563072910937
723,0,0.778932400073906,0.221067599926094
724,0,0.780982516625688,0.219017483374312
725,0,0.780982516625688,0.219017483374312
726,1,0.202096501962717,0.797903498037283
727,1,0.206016758782756,0.793983241217244
728,0,0.792248460251932,0.207751539748068
729,0,0.784459216684923,0.215540783315077
730,0,0.782146707334744,0.217853292665256
731,0,0.779813016973406,0.220186983026594
732,0,0.777458036663068,0.222541963336932
733,0,0.780690639957766,0.219309360042234
734,0,0.799554831779768,0.200445168220232
735,0,0.797927590999718,0.202072409000282
736,1,0.169417514450326,0.830582485549674
737,0,0.789021135682851,0.210978864317149
738,0,0.777458036663068,0.222541963336932
739,1,0.179833865927595,0.820166134072405
740,0,0.772495564346266,0.227504435653734
741,0,0.776865952415715,0.223134047584285
742,0,0.778490967127327,0.221509032872673
743,0,0.785034047402135,0.214965952597865
744,1,0.202096501962717,0.797903498037283
745,0,0.777458036663068,0.222541963336932
746,1,0.206016758782756,0.793983241217244
747,0,0.780398431267821,0.219601568732179
748,0,0.745549494441899,0.254450505558101
749,0,0.8062127417857,0.1937872582143
750,1,0.249812271488774,0.750187728511226
751,0,0.779813016973406,0.220186983026594
752,0,0.779226272049391,0.22077372795061
753,0,0.844678406386232,0.155321593613768
754,0,0.778343656044664,0.221656343955336
755,0,0.844030876704292,0.155969123295708
756,0,0.843163703791332,0.156836296208668
759,0,0.817491880472646,0.182508119527354
760,1,0.27614050903225,0.72385949096775
