,Predicted_Type,WindowFloatGlassTypeProbability,WindowNon-floatGlassTypeProbability,VehicleWindowGlassTypeProbability,ContainersTypeProbability,TablewareTypeProbability,VehicleHeadlampsTypeProbability
5,WinF,0.94,0.02,0.04,0,0,0
189,Head,0,0.04,0.02,0.04,0.1,0.8
119,WinNF,0.06,0.92,0.02,0,0,0
141,WinNF,0.02,0.98,0,0,0,0
90,WinNF,0.08,0.88,0,0.04,0,0
117,WinNF,0.08,0.86,0.04,0.02,0,0
22,WinF,0.78,0.04,0.1,0,0.06,0.02
98,WinNF,0.26,0.74,0,0,0,0
61,WinF,0.82,0.06,0.12,0,0,0
169,Con,0,0.18,0,0.74,0.02,0.06
128,WinNF,0.04,0.7,0,0.1,0.1,0.06
74,WinNF,0.02,0.98,0,0,0,0
26,WinF,0.88,0.12,0,0,0,0
31,WinF,1,0,0,0,0,0
43,WinF,0.84,0.12,0.04,0,0,0
9,WinF,0.84,0.12,0.04,0,0,0
49,WinF,0.8,0.12,0.08,0,0,0
213,Head,0,0,0,0,0,1
196,Head,0,0,0,0,0,1
97,WinNF,0.26,0.74,0,0,0,0
101,WinNF,0.1,0.84,0.04,0.02,0,0
63,WinF,0.94,0,0.06,0,0,0
6,WinF,0.7,0.3,0,0,0,0
156,Veh,0.1,0.16,0.74,0,0,0
33,WinF,0.94,0.06,0,0,0,0
205,Head,0,0,0,0,0,1
83,WinNF,0.14,0.68,0.18,0,0,0
118,WinNF,0,0.86,0.06,0.02,0,0.06
174,Con,0.04,0.3,0,0.66,0,0
144,WinNF,0,0.96,0.04,0,0,0
77,WinNF,0,1,0,0,0,0
84,WinNF,0,1,0,0,0,0
199,Head,0,0,0,0,0,1
163,Veh,0.2,0.16,0.64,0,0,0
93,WinNF,0.06,0.86,0.06,0,0,0.02
62,WinF,0.8,0.02,0.04,0.02,0,0.12
89,WinNF,0.02,0.98,0,0,0,0
12,WinF,1,0,0,0,0,0
207,Head,0,0,0,0,0,1
1,WinF,0.72,0.12,0.16,0,0,0
56,WinF,0.78,0.2,0,0,0.02,0
185,Tabl,0.06,0.08,0.02,0,0.72,0.12
41,WinF,0.92,0.08,0,0,0,0
106,WinNF,0,0.7,0,0.26,0,0.04
210,Head,0,0,0,0,0,1
95,WinNF,0.06,0.92,0,0,0,0.02
50,WinF,0.92,0,0.08,0,0,0
166,Con,0.02,0.08,0,0.88,0.02,0
126,WinNF,0.12,0.78,0.08,0,0.02,0
64,WinF,0.76,0,0.2,0,0.04,0
157,Veh,0.04,0.12,0.84,0,0,0
132,WinNF,0.02,0.88,0,0.08,0,0.02
44,WinF,0.96,0,0.04,0,0,0
121,WinNF,0.22,0.78,0,0,0,0
100,WinNF,0.18,0.72,0.08,0.02,0,0
180,Tabl,0,0.02,0.02,0.02,0.94,0
194,Head,0,0,0,0,0,1
164,Con,0,0.02,0,0.62,0,0.36
193,Head,0,0,0,0,0,1
103,WinNF,0.26,0.68,0.04,0.02,0,0
186,Head,0.08,0.06,0,0.1,0,0.76
123,WinNF,0.04,0.96,0,0,0,0
99,WinNF,0.08,0.92,0,0,0,0
25,WinF,0.86,0.06,0.08,0,0,0
18,WinF,0.78,0.02,0.2,0,0,0
182,Tabl,0,0.02,0.02,0.12,0.78,0.06
124,WinNF,0.04,0.92,0.04,0,0,0
105,WinNF,0.12,0.82,0.02,0,0,0.04
113,WinNF,0.08,0.84,0,0.06,0,0.02
23,WinF,0.92,0.06,0.02,0,0,0
209,Head,0,0,0,0.02,0,0.98
200,Head,0,0,0,0,0,1
167,Con,0,0.1,0,0.88,0.02,0
139,WinNF,0.1,0.9,0,0,0,0
190,Head,0.04,0.12,0.02,0.02,0,0.8
201,Head,0,0,0,0,0,1
47,WinF,0.9,0.08,0.02,0,0,0
69,WinF,0.84,0.1,0.06,0,0,0
39,WinF,0.96,0,0.04,0,0,0
148,Veh,0.06,0.12,0.82,0,0,0
152,Veh,0.34,0.04,0.58,0,0.04,0
176,Con,0,0.1,0,0.86,0.04,0
151,Veh,0.04,0.28,0.66,0.02,0,0
154,Veh,0.08,0.08,0.84,0,0,0
191,Head,0.04,0,0,0.06,0.1,0.8
146,WinNF,0.2,0.78,0.02,0,0,0
147,Veh,0.34,0.04,0.62,0,0,0
112,WinNF,0.04,0.84,0.02,0.06,0.02,0.02
37,WinF,0.92,0.06,0.02,0,0,0
52,WinF,0.94,0.06,0,0,0,0
138,WinNF,0.08,0.92,0,0,0,0
21,WinF,0.72,0.26,0.02,0,0,0
75,WinNF,0.06,0.94,0,0,0,0
159,Veh,0.12,0.08,0.8,0,0,0
36,WinF,0.64,0.12,0.24,0,0,0
92,WinNF,0,0.98,0.02,0,0,0
149,Veh,0.16,0.14,0.7,0,0,0
13,WinF,0.72,0.22,0.06,0,0,0
127,WinNF,0.1,0.78,0.12,0,0,0
40,WinF,0.96,0,0.04,0,0,0
17,WinF,0.92,0.06,0.02,0,0,0
153,Veh,0.26,0.02,0.72,0,0,0
16,WinF,0.92,0.06,0.02,0,0,0
107,WinNF,0,0.8,0,0.12,0,0.08
94,WinNF,0,0.98,0.02,0,0,0
192,Head,0,0,0,0,0,1
51,WinF,0.78,0.1,0.12,0,0,0
45,WinF,0.86,0.14,0,0,0,0
96,WinNF,0.14,0.84,0.02,0,0,0
206,Head,0,0,0,0,0,1
42,WinF,0.94,0.02,0.04,0,0,0
11,WinF,0.74,0.26,0,0,0,0
125,WinNF,0.32,0.66,0,0,0,0.02
160,Veh,0.12,0.2,0.68,0,0,0
214,Head,0,0,0,0,0,1
131,WinNF,0.04,0.8,0,0.14,0,0.02
24,WinF,0.98,0.02,0,0,0,0
212,Head,0.02,0,0,0.02,0.06,0.9
184,WinNF,0.04,0.54,0.06,0.1,0.2,0.06
10,WinF,0.88,0.08,0.04,0,0,0
54,WinF,0.72,0.26,0,0.02,0,0
35,WinF,1,0,0,0,0,0
102,WinNF,0.34,0.52,0.06,0.04,0.04,0
72,WinNF,0.18,0.62,0.2,0,0,0
38,WinF,0.86,0.14,0,0,0,0
135,WinNF,0.42,0.58,0,0,0,0
183,Tabl,0,0.16,0,0.28,0.28,0.28
111,WinNF,0.06,0.8,0.02,0.08,0.02,0.02
181,Tabl,0.08,0.26,0,0.06,0.38,0.22
7,WinF,0.96,0.02,0.02,0,0,0
155,WinF,0.4,0.4,0.2,0,0,0
85,Head,0.12,0.32,0.04,0.06,0.02,0.44
88,WinNF,0,0.96,0.04,0,0,0
67,WinF,0.54,0.32,0.14,0,0,0
168,Con,0,0.02,0,0.94,0.04,0
134,WinNF,0.2,0.58,0.22,0,0,0
86,WinNF,0.14,0.78,0.08,0,0,0
202,WinNF,0.18,0.4,0.08,0.12,0.1,0.12
211,Head,0,0,0,0,0,1
70,WinF,0.74,0.18,0.06,0.02,0,0
175,WinNF,0.06,0.4,0.02,0.26,0.1,0.16
34,WinF,0.88,0.06,0.06,0,0,0
161,WinNF,0.16,0.52,0.28,0.02,0.02,0
188,WinF,0.76,0.18,0.04,0,0,0.02
14,WinF,0.76,0.18,0.06,0,0,0
68,WinF,0.44,0.42,0.14,0,0,0
82,WinNF,0.08,0.86,0.06,0,0,0
172,Con,0.08,0.26,0.02,0.36,0.04,0.24
114,WinNF,0.44,0.54,0.02,0,0,0
130,Con,0.06,0.34,0.02,0.4,0.16,0.02
178,WinF,0.32,0.26,0.14,0.02,0.26,0
129,WinNF,0.06,0.38,0.06,0.22,0.16,0.12
133,WinNF,0.38,0.58,0.04,0,0,0
173,Con,0.08,0.26,0.02,0.32,0.04,0.28
150,WinNF,0.3,0.58,0.12,0,0,0
76,WinNF,0.04,0.96,0,0,0,0
66,WinF,0.74,0,0.26,0,0,0
115,WinNF,0.28,0.68,0.04,0,0,0
140,WinNF,0.12,0.88,0,0,0,0
20,WinNF,0.42,0.44,0.14,0,0,0
27,WinF,0.54,0.32,0.14,0,0,0
