,Predicted_Species,SetosaSpeciesProbability,VersicolorSpeciesProbability,VirginicaSpeciesProbability
37,setosa,1,1.31390204872019e-19,4.3231488785337e-39
38,setosa,1,1.13369818159372e-19,4.51690837028624e-39
39,setosa,1,3.13682739802593e-19,3.22787960123639e-38
40,setosa,1,1.27806525863806e-18,1.82267041710077e-37
41,setosa,1,1.33724338349698e-19,4.91223751499992e-39
42,setosa,0.999991609522209,8.39047779023199e-06,1.12419270461396e-15
43,setosa,1,1.20911009317772e-19,6.50151942512843e-39
44,setosa,0.999990581193764,9.41880623503665e-06,6.00744400982938e-16
45,setosa,0.999980262652297,1.97373477016647e-05,1.81062099451347e-15
46,setosa,0.999999999991151,8.84929495179754e-12,7.0524914297354e-26
47,setosa,1,2.32093668364548e-19,9.09018124709992e-39
48,setosa,1,5.15183271151674e-19,5.77385349788326e-38
49,setosa,1,1.69407251607714e-19,5.54637219659002e-39
50,setosa,1,2.53482572515505e-19,1.43170281417853e-38
51,versicolor,1.29023753163866e-41,1,3.19678448594934e-38
52,versicolor,1.59083563123257e-42,1,5.48684701596931e-39
53,versicolor,1.20665593695754e-42,1,5.06450969308634e-39
54,versicolor,1.24907944221809e-42,1,1.38578292825465e-38
55,versicolor,1.20560152522541e-42,1,6.52715535931776e-39
56,versicolor,1.18970724446937e-42,1,1.30659304166333e-38
57,versicolor,1.21146938886294e-42,1,5.33173609504551e-39
58,versicolor,2.47663446412588e-29,1,8.35449635335185e-28
59,versicolor,1.31441029538436e-42,1,5.07601727691945e-39
60,versicolor,1.31449163270042e-42,1,8.15854338840716e-39
61,versicolor,1.54874472037439e-42,1,1.09453400403019e-38
62,versicolor,1.42125079289494e-42,1,5.60050296332228e-39
63,versicolor,1.64435019734003e-42,1,7.33910819956956e-39
64,versicolor,1.17122756210156e-42,1,1.07111688357735e-38
65,versicolor,3.27213661198953e-07,0.999999672762676,2.36633608241292e-11
66,versicolor,4.8192958792264e-37,1,3.31220312412561e-34
67,versicolor,1.18172105091345e-42,1,1.34563966870678e-38
68,versicolor,3.98356314228688e-42,1,1.32029364256401e-38
69,versicolor,3.50880177925283e-42,1,7.00999294516999e-37
70,versicolor,2.00248309335358e-42,1,8.16925381807236e-39
71,versicolor,6.2820985504569e-31,0.999999002631136,9.97368864506565e-07
72,versicolor,5.01075043292774e-37,1,3.51093121959123e-34
73,versicolor,5.84253204159619e-30,0.999999982006877,1.79931227186432e-08
74,versicolor,1.19829753432084e-42,1,1.00555674115202e-38
75,versicolor,1.31905506708196e-41,1,3.45516373271676e-38
76,versicolor,1.31563327618245e-41,1,3.37259163415923e-38
77,versicolor,1.20144379331021e-42,1,6.24143833599872e-39
78,versicolor,1.51078336392171e-42,1,2.6660319722846e-38
79,versicolor,1.19888778336684e-42,1,8.26478812265382e-39
80,versicolor,0.000707898401849672,0.999292096270731,5.32741883138298e-09
81,versicolor,1.977528736232e-42,1,8.46476068449315e-39
82,versicolor,2.40857344427133e-40,1,5.02622499448514e-37
83,versicolor,7.45167936086916e-40,1,1.20339468379487e-36
84,virginica,2.00606826805602e-45,1.51461361081101e-30,1
85,versicolor,1.43462051499185e-42,1,3.90166856681576e-38
86,versicolor,1.292665430584e-42,1,5.02076687791175e-39
87,versicolor,1.25405018450374e-42,1,4.81026304397852e-39
88,versicolor,1.20088367058001e-42,1,1.11462642768532e-38
89,versicolor,1.94319488718587e-42,1,7.0716663600512e-39
90,versicolor,1.29620462006512e-42,1,8.74301705529543e-39
91,versicolor,1.17650400708257e-42,1,2.14544688508229e-38
92,versicolor,1.21800503335491e-42,1,6.83224676195362e-39
93,versicolor,1.94931391700223e-42,1,7.60042487313309e-39
94,versicolor,1.64764814545148e-31,1,1.92685523435326e-29
95,versicolor,1.26841947807799e-42,1,8.26982336524386e-39
96,versicolor,1.84839337043587e-42,1,6.74963442049046e-39
97,versicolor,1.35579128585963e-42,1,5.95409621856019e-39
98,versicolor,1.98785008458287e-42,1,6.94915314398726e-39
99,setosa,0.634845408151658,0.365154260891969,3.30956372669629e-07
100,versicolor,1.43522278950251e-42,1,6.11055344852899e-39
101,virginica,5.33553398641137e-46,4.64535718913295e-31,1
102,virginica,8.64500716765774e-46,6.97994154600041e-31,1
103,virginica,9.86149567587428e-46,8.09950254945662e-31,1
104,virginica,8.46608043774764e-46,6.90875871158583e-31,1
105,virginica,6.22265230030604e-46,5.28840687693794e-31,1
106,virginica,5.69550814944082e-46,4.8816236898936e-31,1
107,virginica,9.43509218284655e-46,7.21412126643325e-31,1
108,virginica,6.80859020603853e-46,5.71023469730395e-31,1
109,virginica,5.8878369297411e-46,4.94355891410024e-31,1
110,virginica,1.37240022900181e-45,1.11820492380695e-30,1
111,virginica,2.29974664690206e-43,9.63734877404642e-28,1
112,virginica,1.22587787681184e-45,9.73240742720758e-31,1
113,virginica,2.16388572501867e-45,1.67672314912827e-30,1
114,virginica,6.60034480252348e-46,5.44081255325815e-31,1
115,virginica,6.45007823035506e-46,5.47179234298459e-31,1
116,virginica,2.47625970729615e-45,1.91406676195379e-30,1
117,virginica,2.05614355829149e-45,1.57791964234162e-30,1
118,virginica,1.31946841121722e-45,1.07252458826909e-30,1
119,virginica,4.96190515311671e-46,4.31202144543396e-31,1
120,virginica,9.29113655894736e-46,7.27442699889122e-31,1
121,virginica,1.49915597537879e-45,1.2032412646024e-30,1
122,virginica,1.14788159623043e-45,9.09365545186011e-31,1
123,virginica,5.34433893760095e-46,4.59281544661009e-31,1
124,virginica,2.08073982074628e-44,2.72046668875287e-29,1
125,virginica,1.9666303340563e-45,1.53958566768828e-30,1
126,virginica,2.50121797789943e-45,1.9147317607499e-30,1
127,virginica,4.39750325925097e-37,9.67083223610834e-17,1
128,virginica,2.16787279278943e-39,2.32487128577285e-20,1
129,virginica,6.47430940548149e-46,5.4493606668002e-31,1
130,virginica,5.68438216979425e-45,4.2284913044555e-30,1
131,virginica,8.23646550881185e-46,6.82073365231389e-31,1
132,virginica,1.78632421106804e-44,1.21221691552644e-29,1
133,virginica,6.14038658351379e-46,5.20814156515185e-31,1
134,virginica,7.56488811603693e-31,3.13932668884234e-06,0.999996860673311
135,virginica,6.78742214470117e-46,5.50621178706691e-31,1
136,virginica,1.06510232828674e-45,8.75982701115662e-31,1
137,virginica,1.00761619502908e-45,8.35032413096188e-31,1
138,virginica,2.26634271965047e-45,1.72796293434882e-30,1
139,virginica,1.52435036273769e-31,2.82841950349786e-06,0.999997171580496
140,virginica,7.37568933974298e-45,5.25697113229669e-30,1
141,virginica,9.8314861592426e-46,8.14157708714306e-31,1
142,virginica,2.38143700837714e-44,1.59435640685295e-29,1
143,virginica,8.64500716765774e-46,6.97994154600041e-31,1
144,virginica,7.78306304459872e-46,6.5430221680445e-31,1
145,virginica,9.92352908922819e-46,8.25438537667048e-31,1
146,virginica,4.36217437507693e-45,3.23662529788127e-30,1
147,virginica,1.6641805159513e-45,1.28300822432536e-30,1
148,virginica,5.58548510302702e-45,4.02394268289513e-30,1
149,virginica,1.93552633268671e-45,1.52520820278065e-30,1
150,virginica,2.79236783260664e-45,2.07699216749803e-30,1
