,Predicted_Type,FirstClassWineProbability,SecondClassWineProbability,ThirdClassWineProbability
56,2,1.49E-09,0.999999999,6.22E-24
57,3,2.46E-17,6.01E-12,1
58,1,1,3.40E-10,8.33E-41
59,3,3.68E-15,0.003251637,0.996748363
60,3,1.85E-16,4.78E-13,1
61,3,6.90E-14,0.044820422,0.955179578
62,1,0.999968203,3.18E-05,1.01E-18
63,1,0.987586358,0.012413642,3.34E-20
64,3,4.29E-17,5.02E-06,0.999994984
65,1,1,7.03E-13,1.99E-49
66,3,8.42E-26,2.88E-16,1
67,2,2.56E-14,0.872399091,0.127600909
68,2,4.26E-08,0.999999957,6.91E-14
69,2,1.84E-06,0.999997366,7.96E-07
70,2,2.95E-07,0.999999705,1.28E-20
71,2,1.54E-06,0.99999846,5.93E-14
72,2,9.35E-12,1,2.85E-12
73,3,1.11E-20,2.03E-18,1
74,1,0.999999043,9.57E-07,4.23E-28
75,1,1,5.24E-16,5.35E-44
76,2,1.08E-08,0.999999989,4.83E-17
77,2,3.03E-06,0.99999697,1.48E-21
78,2,4.48E-15,1,6.88E-12
79,3,2.65E-24,1.70E-12,1
80,2,6.90E-12,1,1.01E-23
81,2,6.66E-15,0.999301723,0.000698277
82,1,1,1.77E-11,1.37E-35
83,3,1.39E-20,1.71E-15,1
84,2,3.83E-11,0.777748719,0.222251281
85,3,6.82E-19,2.85E-07,0.999999715
86,3,3.65E-21,8.83E-10,0.999999999
87,3,2.23E-17,1.90E-10,1
88,2,7.48E-11,0.999999988,1.15E-08
89,2,1.66E-14,0.999999223,7.77E-07
90,2,2.74E-05,0.999972594,2.37E-28
91,2,1.68E-14,1,6.36E-11
92,2,2.92E-05,0.999970792,8.12E-21
93,1,0.999997834,2.17E-06,3.58E-27
94,3,5.03E-14,4.64E-06,0.999995357
95,1,1,2.30E-18,6.92E-53
96,1,0.999999995,5.29E-09,3.09E-30
97,2,3.63E-12,1,2.50E-13
98,2,2.76E-06,0.999997244,1.35E-21
99,2,8.27E-16,0.999991059,8.94E-06
100,2,5.57E-09,0.999999994,5.78E-14
101,3,1.08E-17,2.17E-13,1
102,2,6.92E-12,0.999980459,1.95E-05
103,1,0.99553676,0.00446324,8.98E-26
104,3,4.07E-22,4.96E-09,0.999999995
105,2,1.72E-06,0.999998283,4.27E-17
106,1,0.999999999,8.80E-10,2.10E-41
107,2,1.98E-07,0.999999802,2.64E-17
108,2,1.00E-07,0.9999999,9.19E-20
109,3,1.04E-14,4.62E-05,0.999953774
110,2,0.214542806,0.785457194,2.21E-33
111,3,2.05E-15,1.06E-05,0.999989399
112,1,0.920077248,0.079922752,5.27E-19
113,2,3.18E-07,0.999999682,3.66E-13
114,2,1.60E-06,0.999998403,3.77E-14
115,1,0.999999563,4.37E-07,4.71E-27
116,1,0.993009187,0.006990813,8.17E-23
117,3,1.58E-19,4.18E-18,1
118,3,1.21E-21,5.32E-18,1
119,1,1,8.94E-17,2.89E-40
120,3,1.84E-27,6.97E-07,0.999999303
121,2,1.08E-12,0.999999999,6.87E-10
122,3,7.18E-19,1.34E-11,1
123,1,0.99999332,6.68E-06,2.78E-31
124,1,0.999979615,2.04E-05,7.05E-20
125,1,1,7.27E-15,1.12E-39
126,3,1.28E-19,3.37E-06,0.999996635
127,1,0.999999984,1.64E-08,6.78E-39
128,2,1.30E-07,0.99999987,1.49E-18
129,1,0.999999246,7.54E-07,2.19E-31
130,1,0.824255795,0.175744205,2.18E-14
131,2,1.35E-06,0.999998646,1.55E-31
132,3,1.58E-21,2.96E-17,1
133,2,7.97E-18,1,2.01E-29
134,1,1,2.34E-10,6.84E-34
135,2,2.12E-13,0.823207712,0.176792288
136,2,2.47E-08,0.999490241,0.000509734
137,3,1.31E-15,2.05E-07,0.999999795
138,2,6.76E-14,1,4.46E-16
139,1,0.999436494,0.000563506,1.24E-19
140,3,4.68E-27,1.24E-07,0.999999876
141,1,0.999999983,1.65E-08,1.01E-26
142,3,2.98E-18,0.000193416,0.999806584
143,1,0.999999887,1.13E-07,5.77E-29
144,1,0.999999999,5.29E-10,2.74E-30
145,2,4.43E-12,1,1.76E-12
146,2,3.76E-09,0.999999996,2.35E-15
147,3,3.56E-19,0.000520497,0.999479503
148,1,1,3.65E-10,1.43E-29
149,1,1,1.81E-10,3.61E-33
150,2,3.56E-12,0.999882328,0.000117672
151,2,0.004788179,0.995211821,2.68E-17
152,2,9.02E-05,0.999909811,2.62E-09
153,3,2.19E-22,6.93E-09,0.999999993
154,2,0.001793815,0.998206185,1.49E-31
155,3,1.23E-23,1.51E-10,1
156,3,1.09E-20,1.03E-06,0.999998973
157,2,5.36E-12,1,1.29E-10
158,2,9.37E-19,1,1.03E-11
159,1,0.999999999,1.29E-09,3.17E-37
160,2,3.43E-07,0.999999657,1.13E-34
161,1,1,5.23E-12,8.11E-32
162,2,3.07E-10,1,4.75E-12
163,3,8.71E-13,1.31E-16,1
164,1,0.999999746,2.54E-07,7.86E-36
165,3,9.40E-22,5.54E-18,1
166,1,0.999999999,7.65E-10,4.34E-38
167,3,1.37E-21,3.98E-19,1
168,2,0.002453514,0.997546486,7.67E-23
169,3,1.29E-19,7.91E-15,1
170,2,4.03E-13,0.999999999,9.45E-10
171,3,4.34E-08,2.43E-18,0.999999957
172,2,4.23E-08,0.999999958,1.06E-33
173,2,0.023575824,0.976424176,3.12E-27
174,1,1,8.14E-13,2.13E-32
175,1,0.999999999,1.26E-09,2.54E-28
176,1,1,2.60E-10,2.99E-30
177,3,3.25E-26,8.42E-14,1
178,1,1,1.78E-11,2.01E-32
